screen_name;neademokratia;syriza_gr;kinimallagis;ellinikilisi;mera25_gr;kmitsotakis;atsipras;FofiGennimata;velopky;yanisvaroufakis
evefthym;3.0;3.0;2.0;4.0;-1.0;4.0;4.0;4.0;4.0;4.0
Qdv6zNFe0nkBH2m;3.0;3.0;2.0;3.0;2.0;1.0;1.0;3.0;2.0;3.0
michail_pana;3.0;3.0;2.0;2.0;2.0;3.0;3.0;2.0;2.0;3.0
spirtzisforever;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0
FdZwMqKWXciTydT;3.0;3.0;3.0;3.0;3.0;3.0;5.0;3.0;3.0;5.0
R7xLvX35rnq6jHD;3.0;3.0;3.0;3.0;3.0;3.0;3.0;2.0;2.0;3.0
Kbitzenis;3.0;2.0;2.0;2.0;2.0;1.0;1.0;3.0;2.0;1.0
contagaras;1.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;2.0;3.0
_varemenos;3.0;3.0;2.0;2.0;2.0;3.0;1.0;3.0;2.0;1.0
Geo_Psychogios;2.0;2.0;2.0;2.0;2.0;1.0;1.0;2.0;2.0;1.0
IwannaPapakosta;2.0;3.0;2.0;2.0;2.0;2.0;2.0;3.0;2.0;2.0
scand461;2.0;3.0;2.0;2.0;2.0;3.0;3.0;1.0;2.0;3.0
ASMForchestra;4.0;4.0;-1.0;4.0;-1.0;4.0;4.0;4.0;4.0;3.0
kokath1;1.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;2.0;2.0
ArdimasGreek;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0
kostis_8;1.0;1.0;2.0;2.0;2.0;1.0;1.0;2.0;2.0;1.0
TassYpsi;4.0;4.0;-1.0;3.0;-1.0;1.0;3.0;3.0;3.0;4.0
Cattaneomadness;2.0;2.0;2.0;2.0;2.0;3.0;3.0;3.0;3.0;1.0
vasileiadistheo;4.0;4.0;2.0;2.0;2.0;3.0;3.0;2.0;3.0;-1.0
Re9ioxGFl3JAlq8;1.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;2.0;2.0
gigilonis13;2.0;1.0;2.0;2.0;1.0;1.0;1.0;1.0;2.0;1.0
PerkaMirsin;3.0;4.0;3.0;3.0;3.0;3.0;4.0;3.0;3.0;1.0
TheZuluPope;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0
mdragasakis;5.0;4.0;-1.0;3.0;-1.0;4.0;4.0;5.0;3.0;3.0
znqavLFucjg1pAW;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0
NTsK45AaPmM9U5P;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0
32Giannakis;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0
okalantaksei;3.0;3.0;2.0;2.0;2.0;-1.0;1.0;2.0;2.0;1.0
magkakos_;3.0;3.0;2.0;2.0;2.0;4.0;2.0;3.0;4.0;4.0
vasiliadisg;3.0;3.0;2.0;2.0;2.0;4.0;2.0;2.0;2.0;1.0
StylianidesEU;1.0;2.0;2.0;2.0;2.0;1.0;1.0;2.0;2.0;2.0
QUKCyT1PGeA7XVx;1.0;4.0;2.0;2.0;2.0;1.0;1.0;2.0;2.0;4.0
gevardakis;2.0;2.0;1.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0
AlexandraOikon;2.0;3.0;2.0;2.0;3.0;3.0;3.0;3.0;1.0;3.0
UKgOpsbs5j5jRya;4.0;-1.0;-1.0;-1.0;-1.0;4.0;4.0;5.0;-1.0;-1.0
ypizgbKtHYwKTzy;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0
eleni_336;3.0;2.0;2.0;2.0;2.0;3.0;3.0;2.0;2.0;3.0
HtaHYlbwj3faSI5;3.0;3.0;2.0;1.0;3.0;3.0;3.0;2.0;1.0;3.0
P6JBcKHrkvXQnN4;4.0;5.0;-1.0;4.0;4.0;4.0;4.0;4.0;-1.0;1.0
dimitrisxioy;3.0;2.0;2.0;2.0;2.0;2.0;2.0;3.0;2.0;1.0
Eliamarkopoulos;4.0;4.0;-1.0;4.0;-1.0;5.0;3.0;4.0;4.0;3.0
Constantine_Zr;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0
J_95_L;-1.0;5.0;-1.0;-1.0;-1.0;4.0;4.0;4.0;5.0;4.0
rgos_gio;2.0;2.0;2.0;2.0;2.0;4.0;2.0;2.0;2.0;-1.0
PQyE5DQaigqYMXX;3.0;4.0;3.0;3.0;3.0;4.0;4.0;2.0;3.0;-1.0
7743535915;3.0;1.0;2.0;3.0;2.0;3.0;1.0;3.0;3.0;3.0
Eleni36632603;3.0;3.0;2.0;2.0;3.0;3.0;3.0;2.0;2.0;3.0
maikvroytsis;2.0;2.0;2.0;2.0;3.0;1.0;3.0;2.0;3.0;1.0
alexandroskyv;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0
roulamakrigr;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;3.0
k5EFfu3RUHCPiUF;5.0;4.0;-1.0;5.0;-1.0;3.0;4.0;4.0;-1.0;-1.0
c7c5b5fbe9284a4;4.0;4.0;-1.0;6.0;-1.0;5.0;4.0;4.0;3.0;-1.0
fXw0RAuhcJCIZJ1;2.0;1.0;2.0;2.0;2.0;5.0;1.0;2.0;2.0;2.0
sta1231;3.0;2.0;3.0;2.0;2.0;3.0;3.0;3.0;3.0;3.0
YotikaFitness;4.0;5.0;2.0;2.0;5.0;5.0;4.0;5.0;-1.0;-1.0
teo_vor;3.0;3.0;3.0;3.0;3.0;3.0;4.0;3.0;3.0;-1.0
giannis3kala;2.0;1.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;1.0
iwannakiG;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0
XKonstantinidis;3.0;1.0;2.0;2.0;1.0;4.0;1.0;2.0;5.0;1.0
moulk_nick;3.0;3.0;2.0;3.0;3.0;4.0;1.0;3.0;3.0;-1.0
wl5vE3TXMDSM7r4;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0
dvmantas;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0
tahamata27;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0
harrisz21gr;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0
qOwEJkd7EstNCqx;4.0;4.0;-1.0;4.0;2.0;4.0;4.0;4.0;3.0;4.0
07pbemsEvuIrUQU;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0
llazaridis;3.0;1.0;2.0;2.0;2.0;3.0;1.0;2.0;2.0;1.0
Oly9TBdOlFahcnM;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0
evanvage;3.0;3.0;2.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0
afroditiapost;3.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;5.0
questsin;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0
yiannisvoridis1;4.0;-1.0;-1.0;3.0;-1.0;-1.0;4.0;-1.0;3.0;4.0
j8Xsrfkk520r2aO;4.0;5.0;-1.0;-1.0;-1.0;5.0;4.0;-1.0;-1.0;-1.0
voloudakisgiann;4.0;4.0;-1.0;3.0;3.0;5.0;4.0;4.0;3.0;-1.0
maria_mpakadhma;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0
alexlp4_;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;2.0;3.0
G9NpM20wG0bhicw;4.0;4.0;3.0;3.0;3.0;3.0;3.0;4.0;3.0;5.0
PanTsiara;3.0;3.0;2.0;3.0;3.0;3.0;3.0;2.0;3.0;5.0
VesiroNikos;3.0;4.0;4.0;4.0;-1.0;4.0;4.0;4.0;5.0;4.0
georgexanthos06;1.0;1.0;2.0;2.0;2.0;1.0;1.0;2.0;1.0;1.0
kbougas;3.0;2.0;2.0;2.0;2.0;3.0;4.0;2.0;2.0;3.0
2zzEDR6hwnciR7S;5.0;5.0;-1.0;-1.0;-1.0;4.0;4.0;-1.0;-1.0;-1.0
narab01;4.0;4.0;-1.0;-1.0;-1.0;5.0;4.0;2.0;4.0;4.0
pirkevin;3.0;1.0;2.0;2.0;2.0;3.0;1.0;2.0;2.0;3.0
PanasGiannhs;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0
JamaisLeDimance;3.0;3.0;2.0;2.0;2.0;4.0;4.0;2.0;2.0;1.0
omorfamystika;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;2.0;3.0
PapandreouPASOK;4.0;4.0;2.0;2.0;2.0;4.0;3.0;4.0;2.0;4.0
nikos_gianoulis;3.0;1.0;2.0;3.0;2.0;1.0;3.0;2.0;2.0;1.0
G_Mpoutsikakis;3.0;3.0;2.0;2.0;3.0;2.0;2.0;3.0;2.0;3.0
ap_kokkalis;1.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;2.0;2.0
antonis_char;3.0;3.0;2.0;2.0;2.0;4.0;2.0;2.0;2.0;3.0
AhmadKadry;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0
vassilis_lappas;2.0;2.0;2.0;2.0;2.0;1.0;4.0;2.0;2.0;-1.0
ab1b8553db9b430;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0
athanasiaxperk1;3.0;3.0;2.0;3.0;3.0;3.0;3.0;3.0;2.0;3.0
Galaziosparapol;1.0;3.0;2.0;2.0;2.0;1.0;1.0;1.0;2.0;3.0
PrigipoPoulos;3.0;2.0;2.0;2.0;2.0;3.0;1.0;2.0;2.0;-1.0
DetlefMusic;4.0;4.0;-1.0;4.0;2.0;4.0;4.0;4.0;2.0;3.0
K9IsGBpmTctz4cj;4.0;4.0;3.0;3.0;3.0;4.0;4.0;3.0;3.0;-1.0
EleniAlexop;1.0;2.0;2.0;2.0;2.0;1.0;1.0;1.0;2.0;1.0
antnik060;3.0;2.0;2.0;2.0;2.0;2.0;3.0;2.0;2.0;1.0
TriantafilidisG;3.0;2.0;2.0;2.0;2.0;2.0;4.0;2.0;2.0;-1.0
x2KfYlZinCoFKQL;3.0;3.0;3.0;3.0;3.0;1.0;3.0;3.0;3.0;3.0
babishatz;2.0;2.0;2.0;2.0;2.0;3.0;2.0;2.0;2.0;2.0
kostakaramanlis;2.0;3.0;2.0;2.0;2.0;4.0;4.0;3.0;2.0;3.0
VagGiannakis;1.0;1.0;2.0;2.0;2.0;1.0;1.0;2.0;2.0;1.0
NMaravegias;1.0;3.0;2.0;2.0;2.0;1.0;1.0;1.0;2.0;1.0
fesisdk;3.0;3.0;-1.0;3.0;3.0;3.0;4.0;3.0;3.0;3.0
oemoral;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0
NtouApoPantou;3.0;2.0;2.0;2.0;2.0;3.0;3.0;3.0;2.0;3.0
vyzompalou;3.0;3.0;2.0;2.0;2.0;3.0;1.0;2.0;2.0;1.0
vlavla;4.0;4.0;-1.0;-1.0;-1.0;3.0;4.0;4.0;4.0;4.0
Pasxal_tvnea;2.0;3.0;2.0;3.0;3.0;3.0;3.0;3.0;2.0;3.0
KPathitikos;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0
msZ7lu2sm2ijCeA;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0
lewnidasparta;2.0;2.0;2.0;1.0;2.0;3.0;3.0;2.0;1.0;1.0
Nikos_Konstanti;2.0;2.0;2.0;2.0;2.0;3.0;4.0;2.0;3.0;-1.0
6JDhRF9LljKB9tV;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0
AndonisSamaras;2.0;2.0;2.0;2.0;2.0;3.0;2.0;2.0;2.0;2.0
ImThe2ndAccount;3.0;3.0;3.0;2.0;2.0;3.0;3.0;3.0;3.0;3.0
giorfilis;3.0;2.0;2.0;2.0;3.0;3.0;3.0;2.0;2.0;3.0
mariosgioulekas;4.0;4.0;4.0;-1.0;-1.0;4.0;5.0;4.0;2.0;4.0
rK6ChtPv9N4gLdx;1.0;1.0;2.0;3.0;2.0;1.0;1.0;3.0;2.0;1.0
vonBoltzmann;1.0;2.0;2.0;2.0;2.0;2.0;1.0;2.0;3.0;2.0
NikTsel_;3.0;3.0;2.0;2.0;2.0;3.0;4.0;2.0;3.0;3.0
DimitrisGiann16;2.0;4.0;2.0;2.0;2.0;4.0;4.0;4.0;2.0;-1.0
VlasisTsolkas;3.0;2.0;2.0;2.0;2.0;1.0;4.0;3.0;4.0;-1.0
MonkeyDBark;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0
kalamatianos19;3.0;3.0;3.0;2.0;2.0;3.0;3.0;3.0;3.0;3.0
nina7_b;2.0;2.0;2.0;3.0;3.0;1.0;3.0;3.0;3.0;3.0
nikosspanakis81;3.0;3.0;2.0;3.0;2.0;3.0;3.0;3.0;2.0;3.0
Maniacsbet91;1.0;4.0;2.0;2.0;2.0;1.0;1.0;2.0;2.0;1.0
NikosNikolakop;3.0;3.0;2.0;3.0;2.0;1.0;3.0;3.0;2.0;3.0
toniapap93;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0
nikostzavaras;3.0;3.0;2.0;2.0;3.0;2.0;2.0;2.0;2.0;3.0
dimiPap11;3.0;2.0;2.0;2.0;2.0;3.0;4.0;4.0;2.0;3.0
anagnostopelena;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0
Thanasispsh77;3.0;3.0;2.0;3.0;3.0;3.0;1.0;3.0;3.0;3.0
STAMENITIS1;3.0;3.0;2.0;3.0;4.0;3.0;1.0;3.0;2.0;1.0
Chris_Vagenas;3.0;3.0;2.0;3.0;3.0;3.0;1.0;3.0;3.0;3.0
AnthonyPappas_;1.0;1.0;1.0;2.0;2.0;1.0;1.0;1.0;2.0;1.0
UniHalle;4.0;4.0;3.0;5.0;3.0;3.0;4.0;4.0;-1.0;5.0
Yanni;4.0;3.0;-1.0;2.0;4.0;3.0;3.0;4.0;2.0;3.0
NtinosCook;3.0;2.0;2.0;2.0;2.0;3.0;3.0;3.0;2.0;3.0
varoufpresident;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0;-2.0
