poi,Result 1,Result 2,Result 3,Result 4,Result 5,Result 6,Result 7,Result 8,Result 9,Result 10
Hotel Matoula Acharavi,https://www.facebook.com/philoxeniaguesthouse/,https://www.facebook.com/hotelphyllis/,https://www.facebook.com/thassossunrise/,,,,,,,
Hotel Acharavi Beach Acharavi,https://www.facebook.com/AcharaviBeachHotelCorfu/,https://www.facebook.com/AcharaviAphrodite/,https://www.facebook.com/acharavibeachvilla/,https://www.facebook.com/vlachosaparts/,,,,,,
Hotel Kathrin Beach Adelianos Kampos,https://www.facebook.com/StellaKatrinHotel/,https://www.facebook.com/alltours/,,,,,,,,
Aelia Resort Afandou,https://www.facebook.com/AeliaResortRhodes/,https://www.facebook.com/Olivetreefarmrhodes/,https://www.facebook.com/TheodoridisApartments/,https://www.facebook.com/solotour.zlin/,https://www.facebook.com/seaandsunvillage/,https://www.facebook.com/VillaPico/,https://www.facebook.com/elitozsuites/,https://www.facebook.com/obatimehotel/,,
Hotel Alexander House Agia Pelagia,https://www.facebook.com/alexanderhousehotel/,https://www.facebook.com/pelagiabayhotel/,https://www.facebook.com/derpartreisebuerogoslar/,https://www.facebook.com/taxiheraklio/,https://www.facebook.com/statusMLB/,,,,,
Mayor La Grotta Verde Grand Resort Agios Gordios,https://www.facebook.com/webbedseurope/,https://www.facebook.com/marblecitytravel.ie/,https://www.facebook.com/sebastianscorfu/,,,,,,,
Mayor Capo Di Corfu Agios Petros,https://www.facebook.com/MayorCapoDiCorfu/,https://www.facebook.com/ClubLookeaMayorCapoDiCorfou/,https://www.facebook.com/kuonitravelpartner/,,,,,,,
smartline Neptuno Beach Amoudara,https://www.facebook.com/ZeushotelsNeptunobeach/,https://www.facebook.com/DessoleDolphinBayResort/,https://www.facebook.com/enormelifestyle/,https://www.facebook.com/MaliaBayBeachHotel/,https://www.facebook.com/lyttosbeach/,https://www.facebook.com/SentidoPearlBeach/,https://www.facebook.com/IkarosBeachResortSpa/,https://www.facebook.com/ZeushotelsSeaBeach/,https://www.facebook.com/AlbatrosHersonissos/,https://www.facebook.com/CastroHotelAmmoudara/
TUI MAGIC LIFE Candia Maris Amoudara,https://www.facebook.com/CandiaMarisResort/,https://www.facebook.com/pages/category/Recreation---Sports-Website/Club-Magic-Life-Candia-Maris-Kreta-Bike-Station-181425618671130/,https://www.facebook.com/Club-Magic-Life-Candia-Maris-Kreta-Bike-Station-181425618671130/,,,,,,,
Apollonia Beach Resort & Spa Amoudara,https://www.facebook.com/pages/category/Beach-Resort/Santa-Marina-Resort-536778169705089/,,,,,,,,,
Lyttos Beach Hotel Analipsi,https://www.facebook.com/lyttosbeach/,https://www.facebook.com/LIFE-animation-Lyttos-Beach-296482207173105/,https://www.facebook.com/pages/category/Interest/LIFE-animation-Lyttos-Beach-296482207173105/,https://www.facebook.com/lyttosbeach/?rf=246531252029724,,,,,,
INSULA ALBA Resort & Spa Analipsi,https://www.facebook.com/insulaalbaresortspa/,https://www.facebook.com/goldenhotelsresorts/,,,,,,,,
Stella Island Resort & Spa Analipsi,https://www.facebook.com/stella.island.hotel.suites.spa/,https://www.facebook.com/andowtravel/,,,,,,,,
Hotel Anissa Beach & Village Anissaras,https://www.facebook.com/pages/category/Beach-Resort/Anissa-Beach-Village-Hotel-1632483863680241/,https://www.facebook.com/galinianissaras/,,,,,,,,
Annabelle Beach Resort Anissaras,https://www.facebook.com/annabellebeachresort/,https://www.facebook.com/pages/category/Travel-Agency/People-Travel-159100870866098/,,,,,,,,
Porto Angeli Beach Resort Hotel Rhodos,https://www.facebook.com/portoangeli/,https://www.facebook.com/Footloosedanceteam/,https://www.facebook.com/olympicpalace/,,,,,,,
Hotel Bali Blue Bay Bali,https://www.facebook.com/BaliBlueBay/,https://www.facebook.com/XidasGardenHotel/,https://www.facebook.com/pages/category/Hotel/ORMOS-Atalia-475092062589968/,https://www.facebook.com/BluePointVillas/,https://www.facebook.com/balibeachgr/,https://www.facebook.com/snorkelingbluelagoonamukbay/,,,,
Hotel Calypso Palace Faliraki,https://www.facebook.com/falirakibay/,https://www.facebook.com/GoldenBeachHotelRethymno/,https://www.facebook.com/kamaribeachrhodes/,https://www.facebook.com/esperidesbeachfamilyresort/,https://www.facebook.com/IloveRhodos/,https://www.facebook.com/MonachusCruises/,https://www.facebook.com/MyGreekTaxiRodos/,,,
Blue Sea Beach Resort Faliraki,https://www.facebook.com/BlueSeaHotel.gr/,https://www.facebook.com/blueseavillasplatanias/,https://www.facebook.com/apartmentsbluesea/,,,,,,,
Elysium Resort & Spa Hotel Faliraki,https://www.facebook.com/elysiumresort/,https://www.facebook.com/celestineofficial/,,,,,,,,
Hotel Mitsis Faliraki Beach Faliraki,https://www.facebook.com/Mitsisfalirakibeach/,https://www.facebook.com/mitsisfaliraki/,,,,,,,,
Hotel Castello Di Cavalieri Suites Faliraki,https://www.facebook.com/sagarhodos/,https://www.facebook.com/Magia-Fish-Spa-436464053045098/,https://www.facebook.com/pages/category/Veterinarian/%CE%9A%CF%84%CE%B7%CE%BD%CE%B9%CE%B1%CF%84%CF%81%CE%B5%CE%AF%CE%BF-%CE%9A%CE%B1%CE%BB%CE%BB%CE%B9%CF%83%CF%84%CE%AE-%CE%93-%CE%91%CE%BD%CE%B1%CF%83%CF%84%CE%B1%CF%83%CE%AF%CE%BF%CF%85-2290964707828789/,,,,,,,
Georgioupolis Resort Aquapark & SPA Georgioupolis,https://www.facebook.com/Georgioupolis/,https://www.facebook.com/harpinhotels/,,,,,,,,
Hotel Corissia Beach Georgioupolis,https://www.facebook.com/maremontebeach/,https://www.facebook.com/corissiahotels/,,,,,,,,
Anemos Luxury Grand Resort Georgioupolis,https://www.facebook.com/AnemosResort/,,,,,,,,,
Hotel Pilot Beach Georgioupolis,https://www.facebook.com/PilotBeachResort/,https://www.facebook.com/pilotamphora/?ref=py_c,https://www.facebook.com/pilotamphora/,https://www.facebook.com/hydramis/,,,,,,
Hotel Sonia Village Gerakini,https://www.facebook.com/fotinihousegerakini/,https://www.facebook.com/afroditibeach/,https://www.facebook.com/pages/category/Hotel/Hotel-Villa-George-Chalkidiki-kriopigi-170214839811545/,https://www.facebook.com/sonnestrandundmeer/,https://www.facebook.com/BitzaroHotel/,https://www.facebook.com/AerialVideosgr/,,,,
Hotel Gouves Park Holiday Resort & Waterpark Gouves,https://www.facebook.com/GouvesWaterPark/,https://www.facebook.com/pages/category/Community/Gouves-Park-Animation-Team-2016-517118605161971/,https://www.facebook.com/Gouves-Park-Animation-Team-2016-517118605161971/,,,,,,,
Hotel King Minos Palace Hersonissos,https://www.facebook.com/pages/category/Hotel-Resort/King-Minos-Palace-Hotel-Hersonissos-1634195743469976/,https://www.facebook.com/hotel.wellness.spa.services/,,,,,,,,
Hersonissos Village Hotel & Bungalows Hersonissos,https://www.facebook.com/HersonissosVillage/,https://www.facebook.com/HighBeach/,https://www.facebook.com/PortoGrecoVillage/,https://www.facebook.com/AldemarCretanVillage/,https://www.facebook.com/lyttosbeach/?rf=246531252029724,https://www.facebook.com/sergioshotelhersonissos/,https://www.facebook.com/pages/category/Hotel-Resort/King-Minos-Palace-Hotel-Hersonissos-1634195743469976/,https://www.facebook.com/travelsavvymom/,https://www.facebook.com/kolibritravel.lv,
Hotel Nana Beach Hersonissos,https://www.facebook.com/nanaprincesshotel/,https://www.facebook.com/ilovewatersportscrete/,https://www.facebook.com/scubakretadivingcenter/,https://www.facebook.com/creta.maris/,,,,,,
Hotel Albatros Hersonissos,https://www.facebook.com/AlbatrosHersonissos/,https://www.facebook.com/citygreenhotel/,,,,,,,,
Hotel Blue Horizon Ialysos,https://www.facebook.com/pages/category/Hotel-Resort/Blue-Horizon-Hotel-Rhodes-2214997365264999/,https://www.facebook.com/pages/category/Vacation-Home-Rental/Annas-Brilliant-Villa-in-Ialysos-109302914165162/,https://www.facebook.com/pages/category/Beach/Ialysos-Beach-390352721109934/,https://www.facebook.com/rhodos.sk/,https://www.facebook.com/sunshinerhodes4/,https://www.facebook.com/Procenter-Rhodos-155034971219600/,https://www.facebook.com/olympicpalace/,https://www.facebook.com/MediterraneanLuxuryVilla/,https://www.facebook.com/Rhodescitytour/,
Hotel Sirene Beach Ialysos,https://www.facebook.com/pages/category/Hotel-Resort/Blue-Horizon-Hotel-Rhodes-2214997365264999/,https://www.facebook.com/pages/category/Beach/Ristorante-Lido-Le-Sirene-168615223205152/,,,,,,,,
Marilena Sea View Hotel Ipsos,https://www.facebook.com/marilenastudios.dassia.corfu/,https://www.facebook.com/Captains-Apartment-Hotel-Barbati-Corfu-102650603231896/,https://www.facebook.com/Luangia-Rents-Car-Hire-Corfu-192515764102622/,https://www.facebook.com/livadinafsika/,https://www.facebook.com/onarcorfu/,https://www.facebook.com/corfuboathire/,https://www.facebook.com/dassiabeachcorfuholidays/,,,
Dionysos Hotel Ixia,https://www.facebook.com/pages/category/Hotel-Resort/Dionysos-Hotel-Rodos-294312057799424/,https://www.facebook.com/pages/category/Beach-Resort/Nathalie-Hotel-286384314798448/,https://www.facebook.com/LaMarquiseResortRhodes/,https://www.facebook.com/Nathalie-Hotel-286384314798448/,https://www.facebook.com/rhodoshorizoncity/,,,,,
Hotel Kalithea Horizon Royal Kallithea,https://www.facebook.com/Kalitheahorizon/,https://www.facebook.com/rhodoshorizonresort/,https://www.facebook.com/vakantie.rhodos/,https://www.facebook.com/Kalitheasun/,https://www.facebook.com/KalitheaMare/,,,,,
Hotel La Marquise Luxury Resort Complex Kallithea,https://www.facebook.com/LaMarquiseResortRhodes/,https://www.facebook.com/inselrhodos/,https://www.facebook.com/justTenor/,,,,,,,
Hotel Kalithea Mare Palace Kallithea,https://www.facebook.com/KalitheaMare/,https://www.facebook.com/Kalitheahorizon/,https://www.facebook.com/Kalitheasun/,https://www.facebook.com/amiliamarerhodes/,https://www.facebook.com/rhodoshorizonresort/,,,,,
Hotel Esperides Beach/Family Resort Kallithea,https://www.facebook.com/esperiagroup/,https://www.facebook.com/Naias-Beach-Hotel-386713491437996/,https://www.facebook.com/eloundahotelselena/,,,,,,,
Hotel Glaros Kamari,https://www.facebook.com/pages/category/Hotel/Andreas-Hotel-Kamari-1789658294627002/,https://www.facebook.com/pages/category/Restaurant/Kamari-Boat-House-Restaurant-431056203668211/,https://www.facebook.com/GrandViewSantorini/,https://www.facebook.com/connysyogaworld/,https://www.facebook.com/Thalassa-Suites-Karpathos-201156953347430/,,,,,
Mitsis Norida Beach Hotel Kardamena,https://www.facebook.com/mitsisnoridahotel/,https://www.facebook.com/mitsisfamilyvillage/,https://www.facebook.com/theclubzonekos/,,,,,,,
Mitsis Family Village Beach Hotel Kardamena,https://www.facebook.com/mitsisfamilyvillage/,https://www.facebook.com/mitsisnoridahotel/,https://www.facebook.com/AegeanVillageHotelKosIslandGreece/,,,,,,,
Mitsis Blue Domes Exclusive Resort & Spa Kardamena,https://www.facebook.com/mitsisbluedomesresort/,https://www.facebook.com/mitsisbluedomeswatersports/,https://www.facebook.com/mitsisfamilyvillage/,https://www.facebook.com/mitsisnoridahotel/,https://www.facebook.com/pages/category/Sports---Recreation-Venue/Kardamena-Watersports-Center-177779952396543/,https://www.facebook.com/theclubzonekos/,,,,
Grand Blue Beach Hotel Kardamena,https://www.facebook.com/GrandBlueBeachHotel/,https://www.facebook.com/KalimeraElladaTravel/,https://www.facebook.com/gltravellounge/,https://www.facebook.com/koulliasgroup/,,,,,,
Hotel Akti Beach Club Kardamena,https://www.facebook.com/AktiBeachClub/,https://www.facebook.com/pages/category/Community/Akti-Beach-Club-Fan-134138420464617/,https://www.facebook.com/elitoursplzen/,https://www.facebook.com/pages/category/Sports---Recreation-Venue/Kardamena-Watersports-Center-177779952396543/,,,,,,
Hotel Rodos/Rhodos Princess Beach Kiotari,https://www.facebook.com/RodosPrincessBeachHotel/,https://www.facebook.com/rodosprincessateam/,https://www.facebook.com/Princess-Adrianna-Rhodos--383761345010516/,https://www.facebook.com/PrincessAndrianaResortSpa/,https://www.facebook.com/Princess-Sun-Hotel-182700811741146/,https://www.facebook.com/Lindos-Princess-A-Team-1523102034578461/,https://www.facebook.com/boutique5hotel/,https://www.facebook.com/WatersportsKiotari/,,
Princess Andriana Resort & Spa Kiotari,https://www.facebook.com/PrincessAndrianaResortSpa/,https://www.facebook.com/Princess-Adrianna-Rhodos--383761345010516/,https://www.facebook.com/PrincessAndrianaAnimationTeam/,https://www.facebook.com/boutique5hotel/,,,,,,
Hotel Mitsis Rhodos Village & Bungalow Kiotari,https://www.facebook.com/mitsisrodosvillagehotel/,https://www.facebook.com/edenroc/,https://www.facebook.com/MitsisRodosMaris/,https://www.facebook.com/mitsispetitpalais/,https://www.facebook.com/mitsislindosmemories/,https://www.facebook.com/malibuboutiquestudios/,https://www.facebook.com/TheIxianGrand.IxianAllSuites/,https://www.facebook.com/lydiamarishotel/,,
Ekaterini Hotel Kiotari,https://www.facebook.com/ekaterinihotel.kiotari.rhodes/,https://www.facebook.com/conciergevienna/,https://www.facebook.com/Limnionas-Bay-Village-134258326774423/,https://www.facebook.com/biuropodrozykatowice/,https://www.facebook.com/traveliadakozieglowy/,,,,,
Mitsis Rinela Beach Resort & Spa Kokkini Hani,https://www.facebook.com/Mitsisrinelabeach/,https://www.facebook.com/RealBlueseaHolidays/,https://www.facebook.com/themisbeachhotel/,,,,,,,
Delfinia Resort Kolymbia,https://www.facebook.com/DelfiniaResortHotel/,https://www.facebook.com/pages/category/Hotel/Villa-Mare-by-Delfinia-Resort-Hotel-729413277180674/,https://www.facebook.com/AlfaBeachHotel/,https://www.facebook.com/Atlantica-Mikri-Poli-Crete-480387682385634/,https://www.facebook.com/pages/category/Community/Akti-Beach-Club-Fan-134138420464617/,https://www.facebook.com/tmtravel.eu/,,,,
Irene Palace Beach Resort Kolymbia,https://www.facebook.com/irenepalace.gr/,https://www.facebook.com/AlfaBeachHotel/,https://www.facebook.com/CK.FIFO/,https://www.facebook.com/alohatour.sk/,https://www.facebook.com/tobytours.sk/,https://www.facebook.com/SLUZBYtrencianskaTEPLA/,https://www.facebook.com/fridmis/,,,
Niriides Hotel Kolymbia,https://www.facebook.com/pages/category/Hotel-Resort/Niriides-Beach-Hotel-Kolymbia-1030130080451852/,https://www.facebook.com/Georgia-Apartments-Afandou-Rhodes-716691695034407/,https://www.facebook.com/lotus.ivanka/,,,,,,,
Hotel Relax Kolymbia,https://www.facebook.com/relaxhotelrho/,https://www.facebook.com/leonardokolymbiaresort/,https://www.facebook.com/kolymbiabayart/,https://www.facebook.com/ApartmentsElefteria/,https://www.facebook.com/AlfaBeachHotel/,,,,,
ROBINSON Club Kyllini Beach Kyllini,https://www.facebook.com/robinson.kyllinibeach/,,,,,,,,,
Lindos Princess Beach Hotel Lardos,https://www.facebook.com/pages/category/Travel-Company/Lindos-Princess-A-Team-1523102034578461/,https://www.facebook.com/LindosPrincess/,https://www.facebook.com/Lindos-Princess-A-Team-1523102034578461/,https://www.facebook.com/LindosPrincessEscaperooms/,,,,,,
CHC Athina Palace Resort & Spa Ligaria,https://www.facebook.com/pages/category/Tour-Agency/Sky-travel-367690686663241/,https://www.facebook.com/Sky-travel-367690686663241/,,,,,,,,
Lindos White Hotel & Suites Lindos,https://www.facebook.com/LindosWhiteHotelandSuites/,https://www.facebook.com/lindoswhitehotel/,https://www.facebook.com/ElectraPalaceResortRhodes/,https://www.facebook.com/lindosbluhotel/,https://www.facebook.com/aphroditelindos/,https://www.facebook.com/TheaVillasLindos/,,,,
Hotel Malia Bay Malia,https://www.facebook.com/MaliaBayBeachHotel/,https://www.facebook.com/GoldenBay/,https://www.facebook.com/HighBeach/,https://www.facebook.com/SunVillage-Hotel-151220041588042/,https://www.facebook.com/yiannismanosmalia/,https://www.facebook.com/vergashotel/,https://www.facebook.com/pages/category/Hotel/Icandy-apts-malia-1683245991922391/,https://www.facebook.com/maliayachting/,https://www.facebook.com/24sevenhotel/,https://www.facebook.com/PYRGOSBEACHOTEL/
Ikaros Beach Luxury Resort & Spa Malia,https://www.facebook.com/IkarosBeachResortSpa/,https://www.facebook.com/kalimerakritihotelandvillageresort/,https://www.facebook.com/directnmarental.gr/,https://www.facebook.com/KosherLuxuryTravel/,,,,,,
Hotel Meropi Malia,https://www.facebook.com/MEROPIAQUA/,https://www.facebook.com/drossiapalms/,https://www.facebook.com/horizonbeachhotelstalis/,https://www.facebook.com/Anaxos-Lesvos-Greece-508093949282051/,,,,,,
Hotel Palladium Marmari,https://www.facebook.com/palladiumkos/,https://www.facebook.com/BouradanisVillageHotel/,https://www.facebook.com/Boutiquehotelmarcopolo/,https://www.facebook.com/pages/category/Jewelry---Watches-Store/Palladium-Jewellery-1390528207827300/,https://www.facebook.com/greennaturediamond/,https://www.facebook.com/pages/category/Travel-Agency/Plush-Holidays-100588864840201/,,,,
Caravia Beach Hotel & Bungalows Marmari,https://www.facebook.com/caraviahotel/,https://www.facebook.com/watersportkos/,https://www.facebook.com/KalimeraElladaTravel/,https://www.facebook.com/pages/category/Beach-Resort/Princess-Of-Kos-153917664679819/,,,,,,
Hotel Sandy Beach Marmari,https://www.facebook.com/pages/category/Hotel-Resort/Sandy-Beach-Family-Suites-Kos-670554533095915/,https://www.facebook.com/marmaribayhotel/,https://www.facebook.com/MarmariWindsurfing/,https://www.facebook.com/pages/category/Recreation---Sports-Website/Marmari-Kos-1913355275649869/,https://www.facebook.com/AtlantisHotelKos/,,,,,
Hotel Princess of Kos Mastichari,https://www.facebook.com/SmyPrincessofKos/,https://www.facebook.com/pages/category/Beach-Resort/Princess-Of-Kos-153917664679819/,https://www.facebook.com/HorizonBeachResort/,https://www.facebook.com/NeptuneHotelsKos/,https://www.facebook.com/AtlantisHotelKos/,https://www.facebook.com/AchilleasBeachHotel/,,,,
TUI MAGIC LIFE Marmari Palace by Atlantica Mastichari,https://www.facebook.com/TUIMAGICLIFEMarmariPalace/,https://www.facebook.com/travelstylers/,,,,,,,,
Hotel Horizon Beach Resort Mastichari,https://www.facebook.com/HorizonBeachResort/,https://www.facebook.com/horizonsurfingcenter/,https://www.facebook.com/pages/category/Travel-Agency/Travelplan-915479831797635/,https://www.facebook.com/olasport/,https://www.facebook.com/NeptuneHotelsKos/,,,,,
Matala Valley Village Matala,https://www.facebook.com/matala.valley.village/,https://www.facebook.com/CrossinVibes/,https://www.facebook.com/HorsefarmMelanouri/,https://www.facebook.com/pages/category/Vacation-Home-Rental/Apartments-Xenophon-Matala-819926451370212/,https://www.facebook.com/pages/category/Lodge/Matalatala-Wildlife-Lodge-904518146282899/,,,,,
Hotel Nautilus Barbati Mparmpati,https://www.facebook.com/locandacorfu/,https://www.facebook.com/pages/category/Hotel/Glyfa-Beach-Villas-613810542422053/,,,,,,,,
Hotel Victoria Nafplio,https://www.facebook.com/hotelvictorianafplio/,https://www.facebook.com/greektaxigreece/,https://www.facebook.com/hotelcrocedimaltaflorence/,https://www.facebook.com/porterforhotels/,https://www.facebook.com/AMATravel/,https://www.facebook.com/kristinasuites/,,,,
Hotel Istion Club & Spa Nea Potidea,,,,,,,,,,
Hotel Xenios Zeus Nikiti,https://www.facebook.com/pages/category/Hotel/Xenios-242633375833/,https://www.facebook.com/soniashouse.gr/,https://www.facebook.com/ivishousekavala/,https://www.facebook.com/travelplanetMD/,,,,,,
Hotel Sandy Beach Paleochora,https://www.facebook.com/IOSPALEOCHORA/,https://www.facebook.com/roulapaleochora/,https://www.facebook.com/Palaiochora/,https://www.facebook.com/paleochorabeachapartment/,https://www.facebook.com/SifisStudios/,,,,,
Vallian Village Hotel Paradeísion,,,,,,,,,,
Hotel Atrium Pefkochori,https://www.facebook.com/AtriumHotelChalkidiki/,https://www.facebook.com/planettravelmkd.planettravelmkd/,https://www.facebook.com/dimitrisestate/,https://www.facebook.com/planettravel.com.mk/,https://www.facebook.com/pages/category/Shopping---Retail/LsMaD-739132212846305/,,,,,
Hotel Alia Palace Pefkochori,https://www.facebook.com/AliaPalaceLuxuryHotelVillas/,https://www.facebook.com/hesperidespefkochori/,https://www.facebook.com/planettravelmkd.planettravelmkd/,https://www.facebook.com/DerpartDinslaken/,,,,,,
Hotel Alianthos Garden Plakias,https://www.facebook.com/pages/category/Hotel/Alianthos-Garden-Hotel-155332094499254/,https://www.facebook.com/AlianthosGardenHotel/,https://www.facebook.com/alianthosbeachhotel/,https://www.facebook.com/alianthosbeachplakias/,,,,,,
Sofia Hotel Plakias,https://www.facebook.com/castelloplakias/,https://www.facebook.com/vrisirestaurant/,https://www.facebook.com/michaelaapartment/,https://www.facebook.com/staviohouses/,,,,,,
Nefeli Hotel Platanes,https://www.facebook.com/PlataniasMare/,https://www.facebook.com/Platanes.Crete/,https://www.facebook.com/NefeliHotel/,https://www.facebook.com/pages/category/Hotel-Resort/Caldera-Group-Of-Hotels-180731775465648/,https://www.facebook.com/Filoxeniachania/,https://www.facebook.com/pages/category/Food---Beverage-Company/Nefeli-Mediterranean-Specialties-414250801967958/,https://www.facebook.com/Villa-Nefeli-Corfu-Kerkyra-147722901959316/,https://www.facebook.com/roomsnefeli/,https://www.facebook.com/Villa.Maraki.Skiathos/,
Rethymno Village Platanias,https://www.facebook.com/RethymnoVillageHotel/,https://www.facebook.com/kalypsohotel/,https://www.facebook.com/rethymnotaxi/,https://www.facebook.com/elena.pelagiavillas/,,,,,,
TUI MAGIC LIFE Plimmiri Plimmiri,https://www.facebook.com/magiclifeplimmiribyatlantica/,https://www.facebook.com/teensclubTMLplimmiri/,https://www.facebook.com/Magic-Life-Plimmiri-Watersports-245547725804368/,,,,,,,
SENSIMAR Oceanis Beach & Spa Resort Psalidi,https://www.facebook.com/oceanisresort/,,,,,,,,,
Hotel Odyssia Beach Rethymno,https://www.facebook.com/NoraPavl/,https://www.facebook.com/OmirosBoutiqueHotel/,https://www.facebook.com/tangoshoesboutique/?ref=py_c&__xts__=68.ARCJgB1h-CkSj5vUYRGgv9TAe0nl30-4ZvWNeW0mKTk1gRWwX592PIkDmxcHddi5WXV-Yz3Tiq8ZLJeSKBOOLwPKDXFOcV5QiAxidXWeHarnTZYagcg_vgwHpYIuEDQgNHfappAcAyz2Ci5PbKM_6WBDU9QPngqHDfz3703d5hnXd1oySldblXqBFAlQue_F3rvNKshqJLTH00dHITXM7OMxabfRWf2LXi7YoJ_EyNSHf2gC7BjanZRgYwDyraBYCSYqJv0YlACEUAXddxSLYn5_M0lhTFszcJy1qItBeGQaZj3pP8JuqMfAj3YV_ocDu8MSmpYYio0hflS03U71RYo1,https://www.facebook.com/CandiaMarisResort/,https://www.facebook.com/irinireth/,,,,,
SENTIDO Aegean Pearl Rethymno,https://www.facebook.com/SentidoAegeanPearl/,https://www.facebook.com/SentidoPearlBeach/,https://www.facebook.com/SENTIDOhotels/,,,,,,,
smartline Semiramis Rhodos,https://www.facebook.com/smartlinetravelhungary/,https://www.facebook.com/DataSystemss/,,,,,,,,
Rhodos Horizon Resort Rhodos,https://www.facebook.com/rhodoshorizonresort/,https://www.facebook.com/RhodosHorizonBlu/,https://www.facebook.com/rhodoshorizoncity/,https://www.facebook.com/NookRhodos/,https://www.facebook.com/pages/category/Car-Rental/Colossos-rent-a-car-Rhodes-Town-173010896170520/,https://www.facebook.com/pages/category/Hotel-Resort/Blue-Horizon-Hotel-Rhodes-2214997365264999/,,,,
Hotel Angela Beach Roda,https://www.facebook.com/IonianBlue.BoatRentals.BoatTrips/,https://www.facebook.com/pages/category/Hotel-Resort/Robolla-Beach-Aparthotel-147161894583/,https://www.facebook.com/RodaPearlResort/,https://www.facebook.com/pegasushotelcorfu/,https://www.facebook.com/RodaBeachResort/,https://www.facebook.com/RodaBeachCamping/,https://www.facebook.com/NSKArrowTravel/,https://www.facebook.com/ninosonthebeachhotel/,https://www.facebook.com/ERIVA-HOTEL-192226922032/,
Angela Beach Apartments Superior Roda,https://www.facebook.com/pages/category/Hotel-Resort/Robolla-Beach-Aparthotel-147161894583/,https://www.facebook.com/summerhousecle/,,,,,,,,
Sani Beach Sani,https://www.facebook.com/saniresort/,https://www.facebook.com/AnemosBeachbar/,https://www.facebook.com/Kasimis-Hotel-at-Sani-1339649029446101/?ref=py_c,https://www.facebook.com/SaniBeachGalleryVilla/,https://www.facebook.com/AriadniVillaSani/,,,,,
Maritimo Beach Hotel Sisi,https://www.facebook.com/maritimobeach/,https://www.facebook.com/pages/category/Personal-Blog/Vivien-Oetelshoven-290002348589896/,https://www.facebook.com/pages/category/Tour-Agency/Si-Si-Caribe-463596451050456/,https://www.facebook.com/cooeehotels/,https://www.facebook.com/pages/category/Hotel-Resort/H%C3%B4tel-Samira-Club-115241063360954/,https://www.facebook.com/SunSearchHolidays/,,,,
Eurohotel Katrin Suites Stalis,https://www.facebook.com/katrinsuites/,https://www.facebook.com/katrinhotel/,https://www.facebook.com/eurohotelgroup/,https://www.facebook.com/arionpalacehotelcrete/,,,,,,
Hotel Marlena Stalis,,,,,,,,,,
SENTIDO Blue Sea Beach Stalis,https://www.facebook.com/ZeushotelsSeaBeach/,https://www.facebook.com/zeushotels/,https://www.facebook.com/vasiahotels.gr/,https://www.facebook.com/TUIBLUE.eloundavillage/,https://www.facebook.com/clubbluewhite/,https://www.facebook.com/diereisewelt.de/,https://www.facebook.com/viscounttravel/,,,
Sergiani Garden Apartments Stalis,https://www.facebook.com/panoramahotelstalis/,https://www.facebook.com/MaliaProject/,https://www.facebook.com/Sweettimestalis/,https://www.facebook.com/lichnosrestaurant/,https://www.facebook.com/seaforsun/,https://www.facebook.com/atriumkoutouloufari/,https://www.facebook.com/gennadisunapts/,,,
Eurohotel Katrin Hotel & Bungalows Stalis,https://www.facebook.com/katrinhotel/,https://www.facebook.com/katrinsuites/,https://www.facebook.com/eurohotelgroup/,https://www.facebook.com/arionpalacehotelcrete/,https://www.facebook.com/azuremare/,https://www.facebook.com/EasyAuto.gr/,,,,
Hotel Gaia Village Tigaki,https://www.facebook.com/GaiaVillage/,https://www.facebook.com/GaiaInStyle/,https://www.facebook.com/islandkos/,https://www.facebook.com/pages/category/Tour-Agency/FRESCO-TRAVEL-309127522472731/,https://www.facebook.com/efesosbeachhotel/,https://www.facebook.com/AchilleasBeachHotel/,,,,
Hotel Gaia In Style Tigaki,https://www.facebook.com/GaiaInStyle/,https://www.facebook.com/GaiaVillage/,https://www.facebook.com/harmonycrestresort/,https://www.facebook.com/cestovniagenturamax/,https://www.facebook.com/efesosbeachhotel/,https://www.facebook.com/concepthotelmanagement/,,,,
Hotel Tigaki’s Star Tigaki,https://www.facebook.com/GaiaVillage/,https://www.facebook.com/AstirOdysseus/,https://www.facebook.com/pages/category/Hotel-Resort/Angela-Suites-Tingaki-1299379683531104/,,,,,,,
