Hotel City,Hotelname_x,Twitter Handle,Website,Facebook Handle,Result 1,Result 2,Result 3,Result 4,Result 5,Result 6,Result 7,Result 8,Result 9,Result 10
Acharavi,Hotel Matoula,,,,https://www.facebook.com/philoxeniaguesthouse/,https://www.facebook.com/hotelphyllis/,https://www.facebook.com/thassossunrise/,,,,,,,
Acharavi,Hotel Acharavi Beach,,https://www.acharavibeach.com/,https://www.facebook.com/AcharaviBeachHotelCorfu/,https://www.facebook.com/AcharaviBeachHotelCorfu/,https://www.facebook.com/AcharaviAphrodite/,https://www.facebook.com/acharavibeachvilla/,https://www.facebook.com/vlachosaparts/,,,,,,
Adelianos Kampos,Hotel Kathrin Beach,,https://kathrinbeach.com/,https://www.facebook.com/Kathrin-Beach-Hotel-102723908759397,https://www.facebook.com/StellaKatrinHotel/,https://www.facebook.com/alltours/,,,,,,,,
Afandou,Aelia Resort,,,,https://www.facebook.com/AeliaResortRhodes/,https://www.facebook.com/Olivetreefarmrhodes/,https://www.facebook.com/TheodoridisApartments/,https://www.facebook.com/solotour.zlin/,https://www.facebook.com/seaandsunvillage/,https://www.facebook.com/VillaPico/,https://www.facebook.com/elitozsuites/,https://www.facebook.com/obatimehotel/,,
Agia Pelagia,Hotel Alexander House,,http://www.alexanderhouse.gr/en/,https://www.facebook.com/alexanderhousehotel,https://www.facebook.com/alexanderhousehotel/,https://www.facebook.com/pelagiabayhotel/,https://www.facebook.com/derpartreisebuerogoslar/,https://www.facebook.com/taxiheraklio/,https://www.facebook.com/statusMLB/,,,,,
Agios Gordios,Mayor La Grotta Verde Grand Resort,mayorlagrotta,https://www.mayorlagrottaverde.com/en/,https://www.facebook.com/MayorLaGrottaVerde/,https://www.facebook.com/webbedseurope/,https://www.facebook.com/marblecitytravel.ie/,https://www.facebook.com/sebastianscorfu/,,,,,,,
Agios Petros,Mayor Capo Di Corfu,capodicorfu,https://www.mayorcapodicorfu.com/en/,https://www.facebook.com/MayorCapoDiCorfu,https://www.facebook.com/MayorCapoDiCorfu/,https://www.facebook.com/ClubLookeaMayorCapoDiCorfou/,https://www.facebook.com/kuonitravelpartner/,,,,,,,
Amoudara,smartline Neptuno Beach,,http://www.zeushotels.gr/neptuno/,https://www.facebook.com/SmartlineNeptuno/,https://www.facebook.com/ZeushotelsNeptunobeach/,https://www.facebook.com/DessoleDolphinBayResort/,https://www.facebook.com/enormelifestyle/,https://www.facebook.com/MaliaBayBeachHotel/,https://www.facebook.com/lyttosbeach/,https://www.facebook.com/SentidoPearlBeach/,https://www.facebook.com/IkarosBeachResortSpa/,https://www.facebook.com/ZeushotelsSeaBeach/,https://www.facebook.com/AlbatrosHersonissos/,https://www.facebook.com/CastroHotelAmmoudara/
Amoudara,TUI MAGIC LIFE Candia Maris,CandiaMaris,http://www.candiamaris.gr/,https://www.facebook.com/CandiaMarisResort/?ref=search,https://www.facebook.com/CandiaMarisResort/,https://www.facebook.com/pages/category/Recreation---Sports-Website/Club-Magic-Life-Candia-Maris-Kreta-Bike-Station-181425618671130/,https://www.facebook.com/Club-Magic-Life-Candia-Maris-Kreta-Bike-Station-181425618671130/,,,,,,,
Amoudara,Apollonia Beach Resort & Spa,ApolloniaHotel,https://www.apollonia.gr/,https://www.facebook.com/apollonia.gr/,https://www.facebook.com/pages/category/Beach-Resort/Santa-Marina-Resort-536778169705089/,,,,,,,,,
Analipsi,Lyttos Beach Hotel,,https://www.lyttosbeach.gr/,https://www.facebook.com/lyttosbeach/,https://www.facebook.com/lyttosbeach/,https://www.facebook.com/LIFE-animation-Lyttos-Beach-296482207173105/,https://www.facebook.com/pages/category/Interest/LIFE-animation-Lyttos-Beach-296482207173105/,https://www.facebook.com/lyttosbeach/?rf=246531252029724,,,,,,
Analipsi,INSULA ALBA Resort & Spa,,http://www.insulaalba.com/,https://www.facebook.com/insulaalbaresortspa/,https://www.facebook.com/insulaalbaresortspa/,https://www.facebook.com/goldenhotelsresorts/,,,,,,,,
Analipsi,Stella Island Resort & Spa,,https://stellaisland.gr/,https://www.facebook.com/stella.island.hotel.suites.spa/,https://www.facebook.com/stella.island.hotel.suites.spa/,https://www.facebook.com/andowtravel/,,,,,,,,
Anissaras,Hotel Anissa Beach & Village,AnissaBeachGR,https://anissabeach.com/,https://www.facebook.com/Anissa-Beach-Village-Hotel-1632483863680241/,https://www.facebook.com/pages/category/Beach-Resort/Anissa-Beach-Village-Hotel-1632483863680241/,https://www.facebook.com/galinianissaras/,,,,,,,,
Anissaras,Annabelle Beach Resort,,http://www.annabellebeachresort.gr/,https://www.facebook.com/annabellebeachresort/,https://www.facebook.com/annabellebeachresort/,https://www.facebook.com/pages/category/Travel-Agency/People-Travel-159100870866098/,,,,,,,,
Rhodos,Porto Angeli Beach Resort Hotel,portoangeli,https://www.portoangeli.com/,https://www.facebook.com/portoangeli,https://www.facebook.com/portoangeli/,https://www.facebook.com/Footloosedanceteam/,https://www.facebook.com/olympicpalace/,,,,,,,
Bali,Hotel Bali Blue Bay,,https://www.balibluebay.com/,,https://www.facebook.com/BaliBlueBay/,https://www.facebook.com/XidasGardenHotel/,https://www.facebook.com/pages/category/Hotel/ORMOS-Atalia-475092062589968/,https://www.facebook.com/BluePointVillas/,https://www.facebook.com/balibeachgr/,https://www.facebook.com/snorkelingbluelagoonamukbay/,,,,
Faliraki,Hotel Calypso Palace,,https://www.calypsopalace.gr/,,https://www.facebook.com/falirakibay/,https://www.facebook.com/GoldenBeachHotelRethymno/,https://www.facebook.com/kamaribeachrhodes/,https://www.facebook.com/esperidesbeachfamilyresort/,https://www.facebook.com/IloveRhodos/,https://www.facebook.com/MonachusCruises/,https://www.facebook.com/MyGreekTaxiRodos/,,,
Faliraki,Blue Sea Beach Resort,,https://blueseahotel.gr/,https://www.facebook.com/BlueSeaHotel.gr,https://www.facebook.com/BlueSeaHotel.gr/,https://www.facebook.com/blueseavillasplatanias/,https://www.facebook.com/apartmentsbluesea/,,,,,,,
Faliraki,Elysium Resort & Spa Hotel,elysiumresort,https://www.elysium.gr/,https://www.facebook.com/elysiumresort,https://www.facebook.com/elysiumresort/,https://www.facebook.com/celestineofficial/,,,,,,,,
Faliraki,Hotel Mitsis Faliraki Beach,mitsishotels,https://www.mitsishotels.com/en/hotels/faliraki-beach,https://www.facebook.com/mitsishotels/,https://www.facebook.com/Mitsisfalirakibeach/,https://www.facebook.com/mitsisfaliraki/,,,,,,,,
Faliraki,Hotel Castello Di Cavalieri Suites,,http://www.castello-suites.com/home/gr,,https://www.facebook.com/sagarhodos/,https://www.facebook.com/Magia-Fish-Spa-436464053045098/,https://www.facebook.com/pages/category/Veterinarian/%CE%9A%CF%84%CE%B7%CE%BD%CE%B9%CE%B1%CF%84%CF%81%CE%B5%CE%AF%CE%BF-%CE%9A%CE%B1%CE%BB%CE%BB%CE%B9%CF%83%CF%84%CE%AE-%CE%93-%CE%91%CE%BD%CE%B1%CF%83%CF%84%CE%B1%CF%83%CE%AF%CE%BF%CF%85-2290964707828789/,,,,,,,
Georgioupolis,Georgioupolis Resort Aquapark & SPA,,https://georgioupolis-resort.com/,https://www.facebook.com/Georgioupolis/,https://www.facebook.com/Georgioupolis/,https://www.facebook.com/harpinhotels/,,,,,,,,
Georgioupolis,Hotel Corissia Beach,corissia,https://corissia.com/en/,https://www.facebook.com/corissiahotels/?rf=215047598536943,https://www.facebook.com/maremontebeach/,https://www.facebook.com/corissiahotels/,,,,,,,,
Georgioupolis,Anemos Luxury Grand Resort,AnemosResort,https://www.anemosresort.com/en-gb,https://www.facebook.com/AnemosResort,https://www.facebook.com/AnemosResort/,,,,,,,,,
Georgioupolis,Hotel Pilot Beach,PilotBeach,https://www.pilot-beach.gr/,https://www.facebook.com/PilotBeachResort/,https://www.facebook.com/PilotBeachResort/,https://www.facebook.com/pilotamphora/?ref=py_c,https://www.facebook.com/pilotamphora/,https://www.facebook.com/hydramis/,,,,,,
Gerakini,Hotel Sonia Village,,https://www.hotel-sonia.gr/new2018/index.php/el/,https://www.facebook.com/Sonia-Village-Resort-68617068503/,https://www.facebook.com/fotinihousegerakini/,https://www.facebook.com/afroditibeach/,https://www.facebook.com/pages/category/Hotel/Hotel-Villa-George-Chalkidiki-kriopigi-170214839811545/,https://www.facebook.com/sonnestrandundmeer/,https://www.facebook.com/BitzaroHotel/,https://www.facebook.com/AerialVideosgr/,,,,
Gouves,Hotel Gouves Park Holiday Resort & Waterpark,,https://www.gouvespark.gr/,https://www.facebook.com/GouvesWaterPark/,https://www.facebook.com/GouvesWaterPark/,https://www.facebook.com/pages/category/Community/Gouves-Park-Animation-Team-2016-517118605161971/,https://www.facebook.com/Gouves-Park-Animation-Team-2016-517118605161971/,,,,,,,
Hersonissos,Hotel King Minos Palace,,http://www.kingminospalace.com/,,https://www.facebook.com/pages/category/Hotel-Resort/King-Minos-Palace-Hotel-Hersonissos-1634195743469976/,https://www.facebook.com/hotel.wellness.spa.services/,,,,,,,,
Hersonissos,Hersonissos Village Hotel & Bungalows,,https://www.hersotels.gr/,https://www.facebook.com/Hersotels/,https://www.facebook.com/HersonissosVillage/,https://www.facebook.com/HighBeach/,https://www.facebook.com/PortoGrecoVillage/,https://www.facebook.com/AldemarCretanVillage/,https://www.facebook.com/lyttosbeach/?rf=246531252029724,https://www.facebook.com/sergioshotelhersonissos/,https://www.facebook.com/pages/category/Hotel-Resort/King-Minos-Palace-Hotel-Hersonissos-1634195743469976/,https://www.facebook.com/travelsavvymom/,https://www.facebook.com/kolibritravel.lv,
Hersonissos,Hotel Nana Beach,,https://www.nanagoldenbeach.gr/,https://www.facebook.com/NanaGoldenBeach/,https://www.facebook.com/nanaprincesshotel/,https://www.facebook.com/ilovewatersportscrete/,https://www.facebook.com/scubakretadivingcenter/,https://www.facebook.com/creta.maris/,,,,,,
Hersonissos,Hotel Albatros,,https://www.albatros-hotel.gr/en/,https://www.facebook.com/albatros.sivota,https://www.facebook.com/AlbatrosHersonissos/,https://www.facebook.com/citygreenhotel/,,,,,,,,
Ialysos,Hotel Blue Horizon,,https://www.bluehorizonhotel.gr/,,https://www.facebook.com/pages/category/Hotel-Resort/Blue-Horizon-Hotel-Rhodes-2214997365264999/,https://www.facebook.com/pages/category/Vacation-Home-Rental/Annas-Brilliant-Villa-in-Ialysos-109302914165162/,https://www.facebook.com/pages/category/Beach/Ialysos-Beach-390352721109934/,https://www.facebook.com/rhodos.sk/,https://www.facebook.com/sunshinerhodes4/,https://www.facebook.com/Procenter-Rhodos-155034971219600/,https://www.facebook.com/olympicpalace/,https://www.facebook.com/MediterraneanLuxuryVilla/,https://www.facebook.com/Rhodescitytour/,
Ialysos,Hotel Sirene Beach,,,,https://www.facebook.com/pages/category/Hotel-Resort/Blue-Horizon-Hotel-Rhodes-2214997365264999/,https://www.facebook.com/pages/category/Beach/Ristorante-Lido-Le-Sirene-168615223205152/,,,,,,,,
Ipsos,Marilena Sea View Hotel,,https://marilenahotel.com/,,https://www.facebook.com/marilenastudios.dassia.corfu/,https://www.facebook.com/Captains-Apartment-Hotel-Barbati-Corfu-102650603231896/,https://www.facebook.com/Luangia-Rents-Car-Hire-Corfu-192515764102622/,https://www.facebook.com/livadinafsika/,https://www.facebook.com/onarcorfu/,https://www.facebook.com/corfuboathire/,https://www.facebook.com/dassiabeachcorfuholidays/,,,
Ixia,Dionysos Hotel,,https://www.dionysos-hotel.gr/,,https://www.facebook.com/pages/category/Hotel-Resort/Dionysos-Hotel-Rodos-294312057799424/,https://www.facebook.com/pages/category/Beach-Resort/Nathalie-Hotel-286384314798448/,https://www.facebook.com/LaMarquiseResortRhodes/,https://www.facebook.com/Nathalie-Hotel-286384314798448/,https://www.facebook.com/rhodoshorizoncity/,,,,,
Kallithea,Hotel Kalithea Horizon Royal,,https://www.kalitheahorizon.gr/,https://www.facebook.com/Kalitheahorizon/,https://www.facebook.com/Kalitheahorizon/,https://www.facebook.com/rhodoshorizonresort/,https://www.facebook.com/vakantie.rhodos/,https://www.facebook.com/Kalitheasun/,https://www.facebook.com/KalitheaMare/,,,,,
Kallithea,Hotel La Marquise Luxury Resort Complex,,https://www.lamarquise.gr/el/,https://www.facebook.com/LaMarquiseResortRhodes,https://www.facebook.com/LaMarquiseResortRhodes/,https://www.facebook.com/inselrhodos/,https://www.facebook.com/justTenor/,,,,,,,
Kallithea,Hotel Kalithea Mare Palace,,https://www.kalitheamare.gr/,https://www.facebook.com/KalitheaMare/,https://www.facebook.com/KalitheaMare/,https://www.facebook.com/Kalitheahorizon/,https://www.facebook.com/Kalitheasun/,https://www.facebook.com/amiliamarerhodes/,https://www.facebook.com/rhodoshorizonresort/,,,,,
Kallithea,Hotel Esperides Beach/Family Resort,,https://www.esperiagroup.gr/en/,https://www.facebook.com/esperiagroup/,https://www.facebook.com/esperiagroup/,https://www.facebook.com/Naias-Beach-Hotel-386713491437996/,https://www.facebook.com/eloundahotelselena/,,,,,,,
Kamari,Hotel Glaros,,https://www.glaros-santorini.com/,https://www.facebook.com/GlarosHotelRestaurantSantorini/,https://www.facebook.com/pages/category/Hotel/Andreas-Hotel-Kamari-1789658294627002/,https://www.facebook.com/pages/category/Restaurant/Kamari-Boat-House-Restaurant-431056203668211/,https://www.facebook.com/GrandViewSantorini/,https://www.facebook.com/connysyogaworld/,https://www.facebook.com/Thalassa-Suites-Karpathos-201156953347430/,,,,,
Kardamena,Mitsis Norida Beach Hotel,mitsishotels,https://www.mitsishotels.com/,https://www.facebook.com/mitsishotels/,https://www.facebook.com/mitsisnoridahotel/,https://www.facebook.com/mitsisfamilyvillage/,https://www.facebook.com/theclubzonekos/,,,,,,,
Kardamena,Mitsis Family Village Beach Hotel,mitsishotels,https://www.mitsishotels.com/,https://www.facebook.com/mitsishotels/,https://www.facebook.com/mitsisfamilyvillage/,https://www.facebook.com/mitsisnoridahotel/,https://www.facebook.com/AegeanVillageHotelKosIslandGreece/,,,,,,,
Kardamena,Mitsis Blue Domes Exclusive Resort & Spa,mitsishotels,https://www.mitsishotels.com/en/hotels/blue-domes,https://www.facebook.com/mitsishotels/,https://www.facebook.com/mitsisbluedomesresort/,https://www.facebook.com/mitsisbluedomeswatersports/,https://www.facebook.com/mitsisfamilyvillage/,https://www.facebook.com/mitsisnoridahotel/,https://www.facebook.com/pages/category/Sports---Recreation-Venue/Kardamena-Watersports-Center-177779952396543/,https://www.facebook.com/theclubzonekos/,,,,
Kardamena,Grand Blue Beach Hotel,,https://www.grandbluehotel.gr/,https://www.facebook.com/GrandBlueBeachHotel,https://www.facebook.com/GrandBlueBeachHotel/,https://www.facebook.com/KalimeraElladaTravel/,https://www.facebook.com/gltravellounge/,https://www.facebook.com/koulliasgroup/,,,,,,
Kardamena,Hotel Akti Beach Club,AktiClub,https://aktibeachclub.gr/,https://www.facebook.com/AktiBeachClub,https://www.facebook.com/AktiBeachClub/,https://www.facebook.com/pages/category/Community/Akti-Beach-Club-Fan-134138420464617/,https://www.facebook.com/elitoursplzen/,https://www.facebook.com/pages/category/Sports---Recreation-Venue/Kardamena-Watersports-Center-177779952396543/,,,,,,
Kiotari,Hotel Rodos/Rhodos Princess Beach,,https://www.rodosprincess.com/,https://www.facebook.com/RodosPrincessBeachHotel,https://www.facebook.com/RodosPrincessBeachHotel/,https://www.facebook.com/rodosprincessateam/,https://www.facebook.com/Princess-Adrianna-Rhodos--383761345010516/,https://www.facebook.com/PrincessAndrianaResortSpa/,https://www.facebook.com/Princess-Sun-Hotel-182700811741146/,https://www.facebook.com/Lindos-Princess-A-Team-1523102034578461/,https://www.facebook.com/boutique5hotel/,https://www.facebook.com/WatersportsKiotari/,,
Kiotari,Princess Andriana Resort & Spa,,https://www.princessandriana.com/,https://www.facebook.com/PrincessAndrianaResortSpa,https://www.facebook.com/PrincessAndrianaResortSpa/,https://www.facebook.com/Princess-Adrianna-Rhodos--383761345010516/,https://www.facebook.com/PrincessAndrianaAnimationTeam/,https://www.facebook.com/boutique5hotel/,,,,,,
Kiotari,Hotel Mitsis Rhodos Village & Bungalow,mitsishotels,https://www.mitsishotels.com/,https://www.facebook.com/mitsishotels/,https://www.facebook.com/mitsisrodosvillagehotel/,https://www.facebook.com/edenroc/,https://www.facebook.com/MitsisRodosMaris/,https://www.facebook.com/mitsispetitpalais/,https://www.facebook.com/mitsislindosmemories/,https://www.facebook.com/malibuboutiquestudios/,https://www.facebook.com/TheIxianGrand.IxianAllSuites/,https://www.facebook.com/lydiamarishotel/,,
Kiotari,Ekaterini Hotel,,https://ekaterini-hotel.com/,https://www.facebook.com/groups/ekaterinihotel/,https://www.facebook.com/ekaterinihotel.kiotari.rhodes/,https://www.facebook.com/conciergevienna/,https://www.facebook.com/Limnionas-Bay-Village-134258326774423/,https://www.facebook.com/biuropodrozykatowice/,https://www.facebook.com/traveliadakozieglowy/,,,,,
