Hotel City,Hotelname,Twitter Handle,Website,Result 1,Result 2,Result 3,Result 4,Result 5,Result 6,Result 7,Result 8,Result 9,Result 10
Faliraki,Hotel Calypso Palace,,https://www.calypsopalace.gr/,@MMGYglobal,@VillaChalkidiki,@diamondpalaceho,@PlanetEarthRec,,,,,,
Platanes,Nefeli Hotel,,https://nefeli-hotel.gr/,@NEFELIHOMES,@RoyalBlueResort,@paphotels,@NefeliNikiforou,@petrinosuites,,,,,
Kallithea,Hotel Kalithea Horizon Royal,,https://www.kalitheahorizon.gr/,@sheratonrhodes,@CaesarsGardens,@dmarisbay,@apollobeachsa,,,,,,
Archangelos,Porto Angeli Beach Resort Hotel,portoangeli,https://www.portoangeli.com/,@krpec,@apollobeachsa,@AvraBeachResort,@sheratonrhodes,@dmarisbay,,,,,
Faliraki,Hotel Calypso Beach,,http://www.calypsohotel.gr/,@CalypsoTowerlll,@CalypsoQueenFL,@medplaya,@TimAtenKnows,,,,,,
Lardos,Lindos Princess Beach Hotel,,https://www.lindosprincess.com/,@stella_palace,@Bookgreececom,,,,,,,,
Stalis,Eurohotel Katrin Suites,,https://www.katrinsuites.gr/,@YvesWaeger,,,,,,,,,
Kardamena,Mitsis Norida Beach Hotel,mitsishotels,https://www.mitsishotels.com/,@mitsishotels,@mitsishotels,,,,,,,,
Kiotari,Hotel Rodos/Rhodos Princess Beach,,https://www.rodosprincess.com/,@HamiltonPolice,@SkyNews,@nswpolice,@dorsetpolice,,,,,,
Rhodos Stadt,Rhodos Horizon Resort,,https://rhodoshorizon.gr/,@Continentseven,@evecleary,@MedeirosLab,,,,,,,
Kardamena,Mitsis Family Village Beach Hotel,mitsishotels,https://www.mitsishotels.com/,@sheratonrhodes,@sunmastertravel,@QueenRockBand,,,,,,,
Kokkini Hani,Mitsis Rinela Beach Resort & Spa,mitsishotels,https://www.mitsishotels.com/,@AhmadHazer,@danielbarnes86,,,,,,,,
Plakias,Hotel Alianthos Garden,alianthosgarden,https://www.hotelalianthos.com/,@alianthosgarden,,,,,,,,,
Amoudara,smartline Neptuno Beach,,http://www.zeushotels.gr/neptuno/,,,,,,,,,,
Kiotari,Princess Andriana Resort & Spa,,https://www.princessandriana.com/,@MyproteinUK,@aktiimperialhotel,,,,,,,,
Faliraki,Blue Sea Beach Resort,,https://www.bluesea-thassos.com/,@BlueWatersHotel,@Mville_HBR,@waileamarriott,@SSIslandResort,@RitzCarlton,@Somobeachresort,,,,
Kardamena,Mitsis Blue Domes Exclusive Resort & Spa,mitsishotels,https://www.mitsishotels.com/en/hotels/blue-domes,@mitsishotels,@aktiimperialhotel,@mitsishotels,,,,,,,
Kiotari,Hotel Mitsis Rhodos Village & Bungalow,mitsishotels,https://www.mitsishotels.com/,@mitsishotels,@avrabeachresort,@mitsishotels,@caraviabeachhotel,,,,,,
Faliraki,Elysium Resort & Spa Hotel,elysiumresort,https://www.elysium.gr/,@elysiumresorts,@AziaResort,@aktiimperialhotel,@straphaelresort,@Elysium_Hotel,@OdyssiaBeach,,,,
Roda,Hotel Angela Beach,,https://angelabeachcorfu.com/el/,@AngelaSarafyan,@angelababicz,@AngelaSarafyan,@RadissonHotels,@AngelaMoyra,,,,,
Marmari,Hotel Palladium,,https://www.hotelpalladiumkos.gr/?page=home&lg_id=3,@PalladiumHotels,@trs_hotels,@PalladiumHG,,,,,,,
Analipsi,Lyttos Beach Hotel,,https://www.lyttosbeach.gr/,@stella_palace,,,,,,,,,
Marmari,Caravia Beach Hotel & Bungalows,Caravia_Beach,https://caraviabeach.gr/en/,@Caravia_Beach,@caraviabeachhotel,@misssportytravels,,,,,,,
Faliraki,Hotel Mitsis Faliraki Beach,mitsishotels,https://www.mitsishotels.com/en/hotels/faliraki-beach,@apollobeachsa,,,,,,,,,
Rethymno,Hotel Odyssia Beach,,https://odyssia.gr/,@OdyssiaBeach,@creta_maris,@cretetravel,@VardisHotel,,,,,,
Anissaras,Hotel Anissa Beach & Village,AnissaBeachGR,https://anissabeach.com/,@nasa_eyes,@konkonas,@ameeshapatel9,,,,,,,
Kolymbia,Delfinia Resort,,https://delfiniaresort.com/el/,,,,,,,,,,
Sisi,Maritimo Beach Hotel,,https://maritimo.gr/,@BeachStarIbiza,@SonMatiasBeach,@SandsBeach,@totaleisure,,,,,,
Malia,Hotel Malia Bay,,http://www.maliabay.gr/,@DavidCamposSF,@MrAndyNgo,@CocosCocktailsX,@sfbctc,,,,,,
Georgioupolis,Georgioupolis Resort Aquapark & SPA,,https://georgioupolis-resort.com/,@harpinhotels,,,,,,,,,
Georgioupolis,Hotel Corissia Beach,corissia,https://corissia.com/en/,,,,,,,,,,
Agia Pelagia,Hotel Alexander House,,http://www.alexanderhouse.gr/en/,@AH_Hotel,@jaimiealexander,@TheEventsGirl,,,,,,,
Georgioupolis,Anemos Luxury Grand Resort,AnemosResort,https://www.anemosresort.com/en-gb,@AnemosResort,@ImeldaMMcCarthy,@stella_palace,,,,,,,
Ligaria,CHC Athina Palace Resort & Spa,,https://www.athinapalace.com.gr/,@DealsAndGifts,,,,,,,,,
Nikiti,Hotel Xenios Zeus,,https://www.xenioshotel.gr/,,,,,,,,,,
Kolymbia,Irene Palace Beach Resort,irenepalace,https://www.irenepalace.gr/,@IrenePadoan,,,,,,,,,
Matala,Matala Valley Village,,https://www.valleyvillage.gr/,@syfoexclusive,,,,,,,,,
Stalis,Hotel Marlena,,https://www.marlenahotel.gr/,@Marlena_Anna,@iamlenalouise,@MenloParkGalway,,,,,,,
Analipsi,INSULA ALBA Resort & Spa,,http://www.insulaalba.com/,,,,,,,,,,
Pefkochori,Hotel Atrium,AtriumHotels,https://www.atrium.gr/,@AtriumHotels,@HotelsAtrium,@BrownPalace,@justinkan,,,,,,
Nafplio,Hotel Victoria,,https://hotelvictoria.gr/en/,@HotelVictoriaDT,@grandpacific,@Victoriabrends,@ParkPlazaHotels,@FairmontEmpress,,,,,
Plakias,Sofia Hotel,,https://www.sofiahotelplakias.com/,@TheSofiaHotel,@Sofia_Balkan,@sophiaharrisCBC,@beguiledmovie,@sofiafranklyn,,,,,
Afandou,Aelia Resort,,,@CivitelHotels,@TDRPlans,@KylliniBeach,@AmmonZeusHotel,@CivitelHotels,,,,,
Psalidi,SENSIMAR Oceanis Beach & Spa Resort,OceanisKos,https://www.oceanis-hotel.gr/,,,,,,,,,,
Marmari,Hotel Sandy Beach,SandyHotelKos,https://hotelsandy.com/,@DameSandyBeach,@hotelstv,@ApolloniaHotel,@MackenzieJersey,@NaplesBchHotel,@hotelsandycove,,,,
Kallithea,Hotel La Marquise Luxury Resort Complex,,https://www.lamarquise.gr/el/,@TheGettysGroup,@JolietSlammers,@mitsisalila,@grandpacific,@mayiaexclusiveresort,@sheratonrhodes,@nyutischcenter,,,
Platanias,Rethymno Village,,https://www.rethymnovillage.gr/,@aquilahotels,@CavoRethymno,@incircle_med,,,,,,,
Stalis,SENTIDO Blue Sea Beach,,https://www.zeushotels.gr/index.html,@waveofchange,@BT_Mayakoba,@SeaLevelNTU,@InterregBSR,@SFWMD,@wildlifesociety,@amandapalmer,@YMCAofSPBC,@WavesBeachVB,@sobenews
Tigaki,Hotel Gaia Village,Gaia_Village,https://www.gaia-hotels.com/gaia-village-hotel.html,@HolidayInn,@crete_escapes,@RobDNewton,@ADCinCaucasus,,,,,,
Ipsos,Marilena Sea View Hotel,,https://marilenahotel.com/,@TommasoCardana,,,,,,,,,
Kallithea,Hotel Kalithea Mare Palace,,https://www.kalitheamare.gr/,@sheratonrhodes,@dmarisbay,@CaesarsGardens,@apollobeachsa,,,,,,
Malia,Ikaros Beach Luxury Resort & Spa,,https://www.ikarosvillage.gr/,@natashajb04,@stella_palace,,,,,,,,
Cap Sani,Sani Beach,sani_resort,https://www.sani-resort.com/el_GR/our-hotels/sani-beach-hotel,@sani_resort,@sani_resort,@Didart80,,,,,,,
Agios Petros,Mayor Capo Di Corfu,capodicorfu,https://www.mayorcapodicorfu.com/en/,@capodicorfu,@hotel_tennis,@corfuseaschool,,,,,,,
Rethymno,SENTIDO Aegean Pearl,PearlHotels,https://pearlhotels.gr/aegean-pearl-5star-hotel-in-rethymno/,@patrickpaulin_w,,,,,,,,,
Kiotari,Ekaterini Hotel,,https://ekaterini-hotel.com/,@astar02,@MatinaPefkos,,,,,,,,
Amoudara,TUI MAGIC LIFE Candia Maris,CandiaMaris,http://www.candiamaris.gr/,@SantoMarisOia,@CostaNostrum,,,,,,,,
Faliraki,Hotel Castello Di Cavalieri Suites,,http://www.castello-suites.com/home/gr,@roccofortehotels,@hoteldelavillerome,@hotelvilon,,,,,,,
Gerakini,Hotel Sonia Village,,https://www.hotel-sonia.gr/new2018/index.php/el/,@SoniaParin,@ffxfirerescue,,,,,,,,
Amoudara,Apollonia Beach Resort & Spa,ApolloniaHotel,https://www.apollonia.gr/,@ApolloniaHotel,@eliesresorts,,,,,,,,
Georgioupolis,Hotel Pilot Beach,PilotBeach,https://www.pilot-beach.gr/,@PilotBeach,@stacypparker,@LongBeachMayor,@nivedita_bhasin,@RE_MiamiBeach,@runolgarun,@SDGE,,,
Pefkochori,Hotel Alia Palace,,https://www.alia-palace.com/,@AliaPalaceHotel,@BaronHotelsEgy,@Porto_Carras,@Porto_Carras,,,,,,
Analipsi,Stella Island Resort & Spa,,https://stellaisland.gr/,@OceanKeyResort,@PlayaResorts,@stellaislandcrete,@blackwomentrav,@stella_palace,,,,,
Kyllini,ROBINSON Club Kyllini Beach,ROBINSON,https://www.robinson.com/en/en/home/,@KylliniBeach,@TimLetz,@robinsonclub,@danielaGcom,,,,,,
Ialysos,Hotel Blue Horizon,,https://www.bluehorizonhotel.gr/,@BlueHorizonVan,@skiathosbluehor,@animalcrossing,@FirstHorizonBnk,,,,,,
Malia,Hotel Meropi,,https://www.meropihotel.gr/,@lakshyarajmewar,,,,,,,,,
Kardamena,Grand Blue Beach Hotel,,https://www.grandbluehotel.gr/,@GrandSurfside,@GrandBeachMiami,@RitzCarlton,@IslaGrandBeach,,,,,,
Lindos,Lindos White Hotel & Suites,,https://lindoswhite.gr/,@CaesarsGardens,,,,,,,,,
Paradeísion,Vallian Village Hotel,,https://www.vallianvillage.gr/,,,,,,,,,,
Tigaki,Hotel Gaia In Style,,https://www.gaia-hotels.com/gaia-instyle-hotel.html,@gaiacosmohotel,@diet_prada,@GAIAstakepool,@GaiaRetreat,@trs_hotels,@HillaryClinton,@AngelJoItaly,,,
Roda,Angela Beach Apartments Superior,,https://angelabeachcorfu.com/apartments-angela-beach-corfu/,@IUBloomington,@uscwomensvolley,@paolanunez,,,,,,,
Bali,Hotel Bali Blue Bay,,https://www.balibluebay.com/,@BlueBayTravel,@Westin,@raffleshotels,@grandhyattbali,@BaliHaiSD,,,,,
Chersónisos / Hersonissos,Hotel King Minos Palace,,http://www.kingminospalace.com/,@creta_maris,,,,,,,,,
Chersónisos / Hersonissos,Hersonissos Village Hotel & Bungalows,,https://www.hersotels.gr/,@castellovillage,,,,,,,,,
Stalis,Sergiani Garden Apartments,sergianistalis,https://sergiani.gr/,,,,,,,,,,
Mastichari,Hotel Princess of Kos,SmyHotels,https://www.smyprincessofkos.com/,@SmyHotels,@bluelagoongroup,@KosIsland,@kosinfo,@sashaluss,,,,,
Mastichari,TUI MAGIC LIFE Marmari Palace by Atlantica,,https://www.magiclife.com/en/en/resort-holiday/greece/marmari-palace/resort-details/,@AtlanticaGroup,@tuimagiclife,@smhansen1207,,,,,,,
Chersónisos / Hersonissos,Hotel Nana Beach,,https://www.nanagoldenbeach.gr/,@NanaBabysitting,@NanaMalone,@weatherchannel,@styledbynana,,,,,,
Rhodos Stadt,smartline Semiramis,,https://www.semiramis.gr/,@racheltjuh,,,,,,,,,
Ialysos,Hotel Sirene Beach,,,@JWMarcoIsland,@amusementlogic,@apollobeachsa,,,,,,,
Plimmiri,TUI MAGIC LIFE Plimmiri,,https://www.magiclife.com/en/en/home/,@tuimagiclife,,,,,,,,,
Acharavi,Hotel Matoula,,http://matoulacorfu.com/el/,@iamzlatanibrahimovic,@GreenKeyInt,,,,,,,,
Chersónisos / Hersonissos,Hotel Albatros,,https://www.albatros-hotel.gr/en/,@info_albatros,@AlbatrossHotel,@TerryFallis,@pickalbatroseg,,,,,,
Kolymbia,Niriides Hotel,,https://www.niriideshotel.com/,@strymonikos,,,,,,,,,
Kamari,Hotel Glaros,,https://www.glaroshotel.com/,@KatrinaWDRB,@meganedoty,@jordanfliegel,@tjericson,@tomchikoore,,,,,
Gouves,Hotel Gouves Park Holiday Resort & Waterpark,,https://www.gouvespark.gr/,@creta_maris,,,,,,,,,
Kallithea,Hotel Esperides Beach/Family Resort,,https://www.esperiagroup.gr/en/,@apollobeachsa,@sheratonrhodes,@AvraBeachResort,@dmarisbay,,,,,,
Anissaras,Annabelle Beach Resort,,http://www.annabellebeachresort.gr/,@annabellehotel,@vivaluxury,@AnnabelRolley,@marina_scarlett,@Kalimera_Ellada,@MDHUB,@animalcrossing,,,
Agios Gordios,Mayor La Grotta Verde Grand Resort,mayorlagrotta,https://www.mayorlagrottaverde.com/en/,@mayorlagrotta,,,,,,,,,
Kardamena,Hotel Akti Beach Club,AktiClub,https://aktibeachclub.gr/,@Caravia_Beach,@lujohotel,@kosinfo,@AstirOdysseus,,,,,,
Mastichari,Hotel Horizon Beach Resort,HorizonKos,https://horizonbeachresort.gr/,@SirataStPete,@Mville_HBR,@Mville_HBR,@SpiceResort,@BermudianaBeach,@MaunaKeaHotel,@MaunaLaniHI,@TheHendersonFL,@MontageLaguna,@kbhmaui
Ixia,Dionysos Hotel,,https://www.hotel-dionysos-thassos.gr/,@DionysosPhoto,@AssosDionysos,@tzoumio,@johnmccusker,@tzoumio,,,,,
Nea Potidea,Hotel Istion Club & Spa,,https://istionclub.gr/,@sani_resort,,,,,,,,,
Paleochora,Hotel Sandy Beach,,https://sandy-beach.gr/,@DameSandyBeach,@hotelstv,@ApolloniaHotel,@MackenzieJersey,@NaplesBchHotel,@hotelsandycove,,,,
Acharavi,Hotel Acharavi Beach,,https://www.acharavibeach.com/,@CorfuW,,,,,,,,,
Adelianos Kampos,Hotel Kathrin Beach,,https://kathrinbeach.com/,@HBO,@kristincavallari,@Kat_McNamara,@Kat_McNamara,@kaitlyndever,@TheAgencyRE,,,,
Kolymbia,Hotel Relax,,https://www.relaxhotel.gr/,@BestWesternGB,@ExtendedStay,@FairmontOlympic,@JWMarriott,,,,,,
Stalis,Eurohotel Katrin Hotel & Bungalows,Katrinhotel,https://katrin-hotel.gr/en/,,,,,,,,,,
Tigaki,Hotel Tigaki’s Star,TigakisStar,https://www.tigakisstar.gr/,,,,,,,,,,
Barbati / Mparmpati,Hotel Nautilus Barbati,,https://www.corfuholiday.gr/,,,,,,,,,,
