Name (Long),Surname,Name,Party,Twitter Handle,Result 1,Result 2,Result 3,Result 4,Result 5,Result 6,Result 7,Result 8,Result 9,Result 10,Result 11,Result 12,Result 13,Result 14,Result 15,Result 16,Result 17,Result 18,Result 19,Result 20
Βιλιάρδος Διονυσίου Βασίλειος,Βιλιάρδος,Βιλιάρδος Βασίλειος,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,ViliardosV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Αλεξοπούλου Κωνσταντίνου Αναστασία - Αικατερίνη,Αλεξοπούλου,Αλεξοπούλου Αικατερίνη,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,anaik2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Αθανασίου Ευαγγέλου Μαρία,Αθανασίου,Αθανασίου Μαρία,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,MariaAt03902914,2801769645,1369317869264248838,3883801823,4841853117,1352034271477837826,3889149862,2890808465,4836716995,2148961146,4361806516,1272520399973232640,774353219464093696,712359665833795585,905126924397281282,513081418,1263928166546096129,3346441403,764794474144858112,4841988202,409176426
Βαγενάς Κωνσταντίνου Δημήτριος,Βαγενάς,Βαγενάς Δημήτριος,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,B3Vagenas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ασημακοπούλου Δημητρίου Σοφία - Χάιδω,Ασημακοπούλου,Ασημακοπούλου Χάιδω,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,SofAsimak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Μυλωνάκης Αντωνίου Αντώνιος,Μυλωνάκης,Μυλωνάκης Αντώνιος,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,AntMylonakis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Αβδελάς Κωνσταντίνου Απόστολος,Αβδελάς,Αβδελάς Απόστολος,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,avdelas_ap,1254725873456078855,1210888480185704449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Χητάς Αχιλλέως Κωνσταντίνος,Χητάς,Χητάς Κωνσταντίνος,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,chitaskostas,3087199700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Βελόπουλος Ιωσήφ Κυριάκος,Βελόπουλος,Βελόπουλος Κυριάκος,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,velopky,579067205,1131834706553708544,3179394819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Μπούμπας Ιωάννη Κωνσταντίνος,Μπούμπας,Μπούμπας Κωνσταντίνος,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,kostasmpoumpas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Αρβανιτίδης Πέτρου Γεώργιος,Αρβανιτίδης,Αρβανιτίδης Γεώργιος,ΚΙΝΑΛ,Arvanitidis_Geo,269667949,3364065969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Αχμέτ Σαμπρή Ιλχάν,Αχμέτ,Αχμέτ Ιλχάν,ΚΙΝΑΛ,ilhanahmet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Γεννηματά Γεωργίου Φωτεινή (Φώφη),Γεννηματά,Γεννηματά Φώφη,ΚΙΝΑΛ,FofiGennimata,71482406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Γιαννακοπούλου Ιωάννη Κωνσταντίνα (Νάντια),Γιαννακοπούλου,Γιαννακοπούλου Νάντια,ΚΙΝΑΛ,ngiannakopoulou,945679686528577536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Γκόκας Ναπολέοντα Χρήστος,Γκόκας,Γκόκας Χρήστος,ΚΙΝΑΛ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Καμίνης Βασιλείου Γεώργιος,Καμίνης,Καμίνης Γεώργιος,ΚΙΝΑΛ,KaminisG,191033632,707816406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Καστανίδης Γεωργίου Χαράλαμπος,Καστανίδης,Καστανίδης Χαράλαμπος,ΚΙΝΑΛ,KastanidisHaris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Κατρίνης Ιωάννη Μιχαήλ,Κατρίνης,Κατρίνης Μιχαήλ,ΚΙΝΑΛ,michaelkatrinis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Κεγκέρογλου Αλεξάνδρου Βασίλειος,Κεγκέρογλου,Κεγκέρογλου Βασίλειος,ΚΙΝΑΛ,bkegeroglou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Κεφαλίδου Δημητρίου Χαρούλα (Χαρά),Κεφαλίδου,Κεφαλίδου Χαρά,ΚΙΝΑΛ,xarakefalidou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Κωνσταντινόπουλος Κωνσταντίνου Οδυσσέας,Κωνσταντινόπουλος,Κωνσταντινόπουλος Οδυσσέας,ΚΙΝΑΛ,Odysseas_,70713954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Κωνσταντόπουλος Χρήστου Δημήτριος,Κωνσταντόπουλος,Κωνσταντόπουλος Δημήτριος,ΚΙΝΑΛ,dkonstantop,1251835096455356416,1313769803820281856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Λιακούλη Θεοφάνη Ευαγγελία,Λιακούλη,Λιακούλη Ευαγγελία,ΚΙΝΑΛ,p1l1sulLrVED8tt,1156878352759894016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Λοβέρδος Νικολάου Ανδρέας,Λοβέρδος,Λοβέρδος Ανδρέας,ΚΙΝΑΛ,a_loverdos,225931853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Μουλκιώτης Βασιλείου Γεώργιος,Μουλκιώτης,Μουλκιώτης Γεώργιος,ΚΙΝΑΛ,GMoulkiotis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Μπαράν Νετζαντή Μπουρχάν,Μπαράν,Μπαράν Μπουρχάν,ΚΙΝΑΛ,BurhanBaranDr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Μπιάγκης Σπυρίδωνος Δημήτριος,Μπιάγκης,Μπιάγκης Δημήτριος,ΚΙΝΑΛ,dimitrisbiagkis,1159407842350288896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Πανάς Νικολάου Απόστολος,Πανάς,Πανάς Απόστολος,ΚΙΝΑΛ,PanasApostolos,1259340614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Παπανδρέου Ανδρέα Γεώργιος,Παπανδρέου,Παπανδρέου Γεώργιος,ΚΙΝΑΛ,GPapandreou,1290723380828737539,2445221244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Πουλάς Θεοδοσίου Ανδρέας,Πουλάς,Πουλάς Ανδρέας,ΚΙΝΑΛ,AndreasPoulas,347951559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Σκανδαλίδης Γεωργίου Κωνσταντίνος,Σκανδαλίδης,Σκανδαλίδης Κωνσταντίνος,ΚΙΝΑΛ,KSkandalidis,539098641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Φραγγίδης Σταύρου Γεώργιος,Φραγγίδης,Φραγγίδης Γεώργιος,ΚΙΝΑΛ,FragidisGeorge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Γκιόκας Χρήστου Ιωάννης,Γκιόκας,Γκιόκας Ιωάννης,ΚΚΕ,,424948440,864506652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Δελής Ιωάννη Ιωάννης,Δελής,Δελής Ιωάννης,ΚΚΕ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Κανέλλη Χρήστου Γαρυφαλλιά (Λιάνα),Κανέλλη,Κανέλλη Λιάνα,ΚΚΕ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Καραθανασόπουλος Πέτρου Νικόλαος,Καραθανασόπουλος,Καραθανασόπουλος Νικόλαος,ΚΚΕ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Κατσώτης Περικλή Χρήστος,Κατσώτης,Κατσώτης Χρήστος,ΚΚΕ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Κομνηνάκα Αποστόλου Μαρία,Κομνηνάκα,Κομνηνάκα Μαρία,ΚΚΕ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Κουτσούμπας Αποστόλου Δημήτριος,Κουτσούμπας,Κουτσούμπας Δημήτριος,ΚΚΕ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Λαμπρούλης Αριστείδη Γεώργιος,Λαμπρούλης,Λαμπρούλης Γεώργιος,ΚΚΕ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Μανωλάκου Εμμανουήλ Διαμάντω,Μανωλάκου,Μανωλάκου Διαμάντω,ΚΚΕ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Μαρίνος Βασιλείου Γεώργιος,Μαρίνος,Μαρίνος Γεώργιος,ΚΚΕ,,1333790313173774336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Παπαναστάσης Αθανασίου Νικόλαος,Παπαναστάσης,Παπαναστάσης Νικόλαος,ΚΚΕ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Παπαρήγα Νικολάου Αλεξάνδρα,Παπαρήγα,Παπαρήγα Αλεξάνδρα,ΚΚΕ,,720931387763769344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Παφίλης Σπυρίδωνος Αθανάσιος,Παφίλης,Παφίλης Αθανάσιος,ΚΚΕ,,827499846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Στολτίδης Δημητρίου Λεωνίδας,Στολτίδης,Στολτίδης Λεωνίδας,ΚΚΕ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Συντυχάκης Δανιήλ Εμμανουήλ,Συντυχάκης,Συντυχάκης Εμμανουήλ,ΚΚΕ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Αδαμοπούλου Αθανασίου Αγγελική,Αδαμοπούλου,Αδαμοπούλου Αγγελική,ΜέΡΑ25,,1327642480528019459,2851071580,1151517950815416320,3423298125,3034560641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Αδάμου Στεργίου Κωνσταντίνα,Αδάμου,Αδάμου Κωνσταντίνα,ΜέΡΑ25,konstantinaada1,2269093603,4796790033,2960443539,2279301560,2679478070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Απατζίδη Κυρίλλου Μαρία,Απατζίδη,Απατζίδη Μαρία,ΜέΡΑ25,ApatzidiM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Βαρουφάκης Γεωργίου Ιωάννης (Γιάνης),Βαρουφάκης,Βαρουφάκης Γιάνης,ΜέΡΑ25,yanisvaroufakis,124690469,810059528746242052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Λογιάδης Σοφοκλή - Εμμανουήλ Γεώργιος,Λογιάδης,Λογιάδης Γεώργιος,ΜέΡΑ25,GeorgeLogiadis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Μπακαδήμα Αγαθοκλή Φωτεινή,Μπακαδήμα,Μπακαδήμα Φωτεινή,ΜέΡΑ25,fbakadima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Αρσένης Δημοκράτη Κρίτων - Ηλίας,Αρσένης,Αρσένης Ηλίας,ΜέΡΑ25,karsenis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Γρηγοριάδης Γεωργίου Κλέων,Γρηγοριάδης,Γρηγοριάδης Κλέων,ΜέΡΑ25,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Σακοράφα Ηλία Σοφία,Σακοράφα,Σακοράφα Σοφία,ΜέΡΑ25,SofiaSakorafa,533082734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Γεραπετρίτης Βασιλείου Γεώργιος,Γεραπετρίτης,Γεραπετρίτης Γεώργιος,ΝΔ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Γιαννάκου Παναγιώτη Μαριορή (Μαριέττα),Γιαννάκου,Γιαννάκου Μαριέττα,ΝΔ,m_giannakou,886723075,214766734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Θεοδωρικάκος Δημητρίου Παναγιώτης (Τάκης),Θεοδωρικάκος,Θεοδωρικάκος Τάκης,ΝΔ,theodorikakosp,1149205366930071552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Πικραμμένος Όθωνος Παναγιώτης,Πικραμμένος,Πικραμμένος Παναγιώτης,ΝΔ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ταραντίλης Δημητρίου Χρήστος,Ταραντίλης,Ταραντίλης Χρήστος,ΝΔ,xtarantilis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Συρίγος Ματθαίου Ευάγγελος (Άγγελος),Συρίγος,Συρίγος Άγγελος,ΝΔ,angelossyrigos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Πιπιλή Ανδρέα Φωτεινή,Πιπιλή,Πιπιλή Φωτεινή,ΝΔ,FotiniPipili,481393090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Μπογδάνος Σπυρίδωνος Κωνσταντίνος,Μπογδάνος,Μπογδάνος Κωνσταντίνος,ΝΔ,bogdanosk,1246430042793615360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Κακλαμάνης Μιχαήλ Νικήτας,Κακλαμάνης,Κακλαμάνης Νικήτας,ΝΔ,NKaklamanis,72838721,1139634200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Κεφαλογιάννη Ιωάννη Όλγα,Κεφαλογιάννη,Κεφαλογιάννη Όλγα,ΝΔ,olgakef,2365419054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Κικίλιας Παναγιώτη Βασίλειος,Κικίλιας,Κικίλιας Βασίλειος,ΝΔ,Vkikilias,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Πλεύρης Κωνσταντίνου Αθανάσιος,Πλεύρης,Πλεύρης Αθανάσιος,ΝΔ,thanosplevris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ράπτη Γεωργίου Ζωή,Ράπτη,Ράπτη Ζωή,ΝΔ,raptizoi,2443992852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ρουσόπουλος Βασιλείου Θεόδωρος,Ρουσόπουλος,Ρουσόπουλος Θεόδωρος,ΝΔ,RoussopoulosTh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Κουμουτσάκος Σπυρίδωνος Γεώργιος,Κουμουτσάκος,Κουμουτσάκος Γεώργιος,ΝΔ,GKoumoutsakos,633098410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Κεραμέως Κωνσταντίνου Νίκη,Κεραμέως,Κεραμέως Νίκη,ΝΔ,nkerameus,435737814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Καιρίδης Κωνσταντίνου Δημήτριος,Καιρίδης,Καιρίδης Δημήτριος,ΝΔ,DimKairidis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Γεωργιάδης Αθανασίου Σπυρίδων - Άδωνις,Γεωργιάδης,Γεωργιάδης Άδωνις,ΝΔ,AdonisGeorgiadi,70340615,2980911795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Χατζηδάκης Ιωάννη Κωνσταντίνος (Κωστής),Χατζηδάκης,Χατζηδάκης Κωστής,ΝΔ,K_Hatzidakis,434832879,1284477246913339394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Βαρβιτσιώτης Ιωάννη Μιλτιάδης,Βαρβιτσιώτης,Βαρβιτσιώτης Μιλτιάδης,ΝΔ,MVarvitsiotis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Λοβέρδος Πέτρου Ιωάννης - Μιχαήλ (Γιάννης),Λοβέρδος,Λοβέρδος Γιάννης,ΝΔ,YiannisLoverdos,2500320130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Μητσοτάκης Κωνσταντίνου Κυριάκος,Μητσοτάκης,Μητσοτάκης Κυριάκος,ΝΔ,kmitsotakis,14283525,1165933506377256962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Κυρανάκης Ιωάννη - Παναγιώτη Κωνσταντίνος,Κυρανάκης,Κυρανάκης Κωνσταντίνος,ΝΔ,kyranakis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Παπαδημητρίου Αθανασίου Χαράλαμπος (Μπάμπης),Παπαδημητρίου,Παπαδημητρίου Μπάμπης,ΝΔ,babis2019,48426854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Σπανάκης Νικολάου Βασίλειος - Πέτρος,Σπανάκης,Σπανάκης Πέτρος,ΝΔ,vspanakis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Δένδιας Σπυρίδωνος Νικόλαος - Γεώργιος,Δένδιας,Δένδιας Γεώργιος,ΝΔ,NikosDendias,236744081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Βούλτεψη Ιωάννη Σοφία,Βούλτεψη,Βούλτεψη Σοφία,ΝΔ,sofia_voultepsi,404193258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Καλλιάνος Δημητρίου Ιωάννης,Καλλιάνος,Καλλιάνος Ιωάννης,ΝΔ,kallianos,2372128546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Καραμανλή Αρκαδίου Άννα,Καραμανλή,Καραμανλή Άννα,ΝΔ,annakaramanli,478754813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Θεοχάρης Αθανασίου Θεοχάρης (Χάρης),Θεοχάρης,Θεοχάρης Χάρης,ΝΔ,htheoharis,2982331312,3119327027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Χατζηδάκης Διονυσίου Διονύσιος,Χατζηδάκης,Χατζηδάκης Διονύσιος,ΝΔ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Δούνια Δημητρίου Παναγιώτα (Νόνη),Δούνια,Δούνια Νόνη,ΝΔ,NoniDounia,3066009454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Κατσαφάδος Ιωάννη Κωνσταντίνος,Κατσαφάδος,Κατσαφάδος Κωνσταντίνος,ΝΔ,katsafados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Μπουτσικάκης Ιωάννη Χριστόφορος - Εμμανουήλ,Μπουτσικάκης,Μπουτσικάκης Εμμανουήλ,ΝΔ,BoutsikakisChr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Μελάς Παναγιώτη Ιωάννης,Μελάς,Μελάς Ιωάννης,ΝΔ,yiannismelas,901552902459863046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Μανωλάκος Πέτρου Νικόλαος,Μανωλάκος,Μανωλάκος Νικόλαος,ΝΔ,manolakosnik,16258781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Μαρκόπουλος Κωνσταντίνου Δημήτριος,Μαρκόπουλος,Μαρκόπουλος Δημήτριος,ΝΔ,markopoulosdimi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Τραγάκης Παναγιώτη Ιωάννης,Τραγάκης,Τραγάκης Ιωάννης,ΝΔ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Μαρτίνου Αθανασίου Γεωργία,Μαρτίνου,Μαρτίνου Γεωργία,ΝΔ,GeorgiaMartinou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Οικονόμου Αθανασίου Βασίλειος,Οικονόμου,Οικονόμου Βασίλειος,ΝΔ,OikonomouVasili,3100514321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Βλάχος Θεοδώρου Γεώργιος,Βλάχος,Βλάχος Γεώργιος,ΝΔ,Vlachos_G,900721825742807042,4867087780,2320654560,3935256472,709020316970971139,822432545946136576,755673702898003968,1095217634289831936,806936699259523073,751294589542203392,563558280,0,0,0,0,0,0,0,0,0
Βορίδης Χρήστου Μαυρουδής (Μάκης),Βορίδης,Βορίδης Μάκης,ΝΔ,MakisVoridis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Μπούρας Κωνσταντίνου Αθανάσιος,Μπούρας,Μπούρας Αθανάσιος,ΝΔ,athbouras,2976349222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Κώτσηρας Αναστασίου Γεώργιος,Κώτσηρας,Κώτσηρας Γεώργιος,ΝΔ,giorgoskotsiras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
