Name (Long),Surname,Name,Party,Twitter Handle
Βιλιάρδος Διονυσίου Βασίλειος,Βιλιάρδος,Βιλιάρδος Βασίλειος,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,ViliardosV
Αλεξοπούλου Κωνσταντίνου Αναστασία - Αικατερίνη,Αλεξοπούλου,Αλεξοπούλου Αικατερίνη,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,anaik2020
Αθανασίου Ευαγγέλου Μαρία,Αθανασίου,Αθανασίου Μαρία,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,MariaAt03902914
Βαγενάς Κωνσταντίνου Δημήτριος,Βαγενάς,Βαγενάς Δημήτριος,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,B3Vagenas
Ασημακοπούλου Δημητρίου Σοφία - Χάιδω,Ασημακοπούλου,Ασημακοπούλου Χάιδω,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,SofAsimak
Μυλωνάκης Αντωνίου Αντώνιος,Μυλωνάκης,Μυλωνάκης Αντώνιος,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,AntMylonakis
Αβδελάς Κωνσταντίνου Απόστολος,Αβδελάς,Αβδελάς Απόστολος,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,avdelas_ap
Χητάς Αχιλλέως Κωνσταντίνος,Χητάς,Χητάς Κωνσταντίνος,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,chitaskostas
Βελόπουλος Ιωσήφ Κυριάκος,Βελόπουλος,Βελόπουλος Κυριάκος,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,velopky
Μπούμπας Ιωάννη Κωνσταντίνος,Μπούμπας,Μπούμπας Κωνσταντίνος,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,kostasmpoumpas
Αρβανιτίδης Πέτρου Γεώργιος,Αρβανιτίδης,Αρβανιτίδης Γεώργιος,ΚΙΝΑΛ,Arvanitidis_Geo
Αχμέτ Σαμπρή Ιλχάν,Αχμέτ,Αχμέτ Ιλχάν,ΚΙΝΑΛ,ilhanahmet
Γεννηματά Γεωργίου Φωτεινή (Φώφη),Γεννηματά,Γεννηματά Φώφη,ΚΙΝΑΛ,FofiGennimata
Γιαννακοπούλου Ιωάννη Κωνσταντίνα (Νάντια),Γιαννακοπούλου,Γιαννακοπούλου Νάντια,ΚΙΝΑΛ,ngiannakopoulou
Γκόκας Ναπολέοντα Χρήστος,Γκόκας,Γκόκας Χρήστος,ΚΙΝΑΛ,
Καμίνης Βασιλείου Γεώργιος,Καμίνης,Καμίνης Γεώργιος,ΚΙΝΑΛ,KaminisG
Καστανίδης Γεωργίου Χαράλαμπος,Καστανίδης,Καστανίδης Χαράλαμπος,ΚΙΝΑΛ,KastanidisHaris
Κατρίνης Ιωάννη Μιχαήλ,Κατρίνης,Κατρίνης Μιχαήλ,ΚΙΝΑΛ,michaelkatrinis
Κεγκέρογλου Αλεξάνδρου Βασίλειος,Κεγκέρογλου,Κεγκέρογλου Βασίλειος,ΚΙΝΑΛ,bkegeroglou
Κεφαλίδου Δημητρίου Χαρούλα (Χαρά),Κεφαλίδου,Κεφαλίδου Χαρά,ΚΙΝΑΛ,xarakefalidou
Κωνσταντινόπουλος Κωνσταντίνου Οδυσσέας,Κωνσταντινόπουλος,Κωνσταντινόπουλος Οδυσσέας,ΚΙΝΑΛ,Odysseas_
Κωνσταντόπουλος Χρήστου Δημήτριος,Κωνσταντόπουλος,Κωνσταντόπουλος Δημήτριος,ΚΙΝΑΛ,dkonstantop
Λιακούλη Θεοφάνη Ευαγγελία,Λιακούλη,Λιακούλη Ευαγγελία,ΚΙΝΑΛ,p1l1sulLrVED8tt
Λοβέρδος Νικολάου Ανδρέας,Λοβέρδος,Λοβέρδος Ανδρέας,ΚΙΝΑΛ,a_loverdos
Μουλκιώτης Βασιλείου Γεώργιος,Μουλκιώτης,Μουλκιώτης Γεώργιος,ΚΙΝΑΛ,GMoulkiotis
Μπαράν Νετζαντή Μπουρχάν,Μπαράν,Μπαράν Μπουρχάν,ΚΙΝΑΛ,BurhanBaranDr
Μπιάγκης Σπυρίδωνος Δημήτριος,Μπιάγκης,Μπιάγκης Δημήτριος,ΚΙΝΑΛ,dimitrisbiagkis
Πανάς Νικολάου Απόστολος,Πανάς,Πανάς Απόστολος,ΚΙΝΑΛ,PanasApostolos
Παπανδρέου Ανδρέα Γεώργιος,Παπανδρέου,Παπανδρέου Γεώργιος,ΚΙΝΑΛ,GPapandreou
Πουλάς Θεοδοσίου Ανδρέας,Πουλάς,Πουλάς Ανδρέας,ΚΙΝΑΛ,AndreasPoulas
Σκανδαλίδης Γεωργίου Κωνσταντίνος,Σκανδαλίδης,Σκανδαλίδης Κωνσταντίνος,ΚΙΝΑΛ,KSkandalidis
Φραγγίδης Σταύρου Γεώργιος,Φραγγίδης,Φραγγίδης Γεώργιος,ΚΙΝΑΛ,FragidisGeorge
Γκιόκας Χρήστου Ιωάννης,Γκιόκας,Γκιόκας Ιωάννης,ΚΚΕ,
Δελής Ιωάννη Ιωάννης,Δελής,Δελής Ιωάννης,ΚΚΕ,
Κανέλλη Χρήστου Γαρυφαλλιά (Λιάνα),Κανέλλη,Κανέλλη Λιάνα,ΚΚΕ,
Καραθανασόπουλος Πέτρου Νικόλαος,Καραθανασόπουλος,Καραθανασόπουλος Νικόλαος,ΚΚΕ,
Κατσώτης Περικλή Χρήστος,Κατσώτης,Κατσώτης Χρήστος,ΚΚΕ,
Κομνηνάκα Αποστόλου Μαρία,Κομνηνάκα,Κομνηνάκα Μαρία,ΚΚΕ,
Κουτσούμπας Αποστόλου Δημήτριος,Κουτσούμπας,Κουτσούμπας Δημήτριος,ΚΚΕ,
Λαμπρούλης Αριστείδη Γεώργιος,Λαμπρούλης,Λαμπρούλης Γεώργιος,ΚΚΕ,
Μανωλάκου Εμμανουήλ Διαμάντω,Μανωλάκου,Μανωλάκου Διαμάντω,ΚΚΕ,
Μαρίνος Βασιλείου Γεώργιος,Μαρίνος,Μαρίνος Γεώργιος,ΚΚΕ,
Παπαναστάσης Αθανασίου Νικόλαος,Παπαναστάσης,Παπαναστάσης Νικόλαος,ΚΚΕ,
Παπαρήγα Νικολάου Αλεξάνδρα,Παπαρήγα,Παπαρήγα Αλεξάνδρα,ΚΚΕ,
Παφίλης Σπυρίδωνος Αθανάσιος,Παφίλης,Παφίλης Αθανάσιος,ΚΚΕ,
Στολτίδης Δημητρίου Λεωνίδας,Στολτίδης,Στολτίδης Λεωνίδας,ΚΚΕ,
Συντυχάκης Δανιήλ Εμμανουήλ,Συντυχάκης,Συντυχάκης Εμμανουήλ,ΚΚΕ,
Αδαμοπούλου Αθανασίου Αγγελική,Αδαμοπούλου,Αδαμοπούλου Αγγελική,ΜέΡΑ25,
Αδάμου Στεργίου Κωνσταντίνα,Αδάμου,Αδάμου Κωνσταντίνα,ΜέΡΑ25,konstantinaada1
Απατζίδη Κυρίλλου Μαρία,Απατζίδη,Απατζίδη Μαρία,ΜέΡΑ25,ApatzidiM
Βαρουφάκης Γεωργίου Ιωάννης (Γιάνης),Βαρουφάκης,Βαρουφάκης Γιάνης,ΜέΡΑ25,yanisvaroufakis
Λογιάδης Σοφοκλή - Εμμανουήλ Γεώργιος,Λογιάδης,Λογιάδης Γεώργιος,ΜέΡΑ25,GeorgeLogiadis
Μπακαδήμα Αγαθοκλή Φωτεινή,Μπακαδήμα,Μπακαδήμα Φωτεινή,ΜέΡΑ25,fbakadima
Αρσένης Δημοκράτη Κρίτων - Ηλίας,Αρσένης,Αρσένης Ηλίας,ΜέΡΑ25,karsenis
Γρηγοριάδης Γεωργίου Κλέων,Γρηγοριάδης,Γρηγοριάδης Κλέων,ΜέΡΑ25,
Σακοράφα Ηλία Σοφία,Σακοράφα,Σακοράφα Σοφία,ΜέΡΑ25,SofiaSakorafa
Γεραπετρίτης Βασιλείου Γεώργιος,Γεραπετρίτης,Γεραπετρίτης Γεώργιος,ΝΔ,
Γιαννάκου Παναγιώτη Μαριορή (Μαριέττα),Γιαννάκου,Γιαννάκου Μαριέττα,ΝΔ,m_giannakou
Θεοδωρικάκος Δημητρίου Παναγιώτης (Τάκης),Θεοδωρικάκος,Θεοδωρικάκος Τάκης,ΝΔ,theodorikakosp
Πικραμμένος Όθωνος Παναγιώτης,Πικραμμένος,Πικραμμένος Παναγιώτης,ΝΔ,
Ταραντίλης Δημητρίου Χρήστος,Ταραντίλης,Ταραντίλης Χρήστος,ΝΔ,xtarantilis
Συρίγος Ματθαίου Ευάγγελος (Άγγελος),Συρίγος,Συρίγος Άγγελος,ΝΔ,angelossyrigos
Πιπιλή Ανδρέα Φωτεινή,Πιπιλή,Πιπιλή Φωτεινή,ΝΔ,FotiniPipili
Μπογδάνος Σπυρίδωνος Κωνσταντίνος,Μπογδάνος,Μπογδάνος Κωνσταντίνος,ΝΔ,bogdanosk
Κακλαμάνης Μιχαήλ Νικήτας,Κακλαμάνης,Κακλαμάνης Νικήτας,ΝΔ,NKaklamanis
Κεφαλογιάννη Ιωάννη Όλγα,Κεφαλογιάννη,Κεφαλογιάννη Όλγα,ΝΔ,olgakef
Κικίλιας Παναγιώτη Βασίλειος,Κικίλιας,Κικίλιας Βασίλειος,ΝΔ,Vkikilias
Πλεύρης Κωνσταντίνου Αθανάσιος,Πλεύρης,Πλεύρης Αθανάσιος,ΝΔ,thanosplevris
Ράπτη Γεωργίου Ζωή,Ράπτη,Ράπτη Ζωή,ΝΔ,raptizoi
Ρουσόπουλος Βασιλείου Θεόδωρος,Ρουσόπουλος,Ρουσόπουλος Θεόδωρος,ΝΔ,RoussopoulosTh
Κουμουτσάκος Σπυρίδωνος Γεώργιος,Κουμουτσάκος,Κουμουτσάκος Γεώργιος,ΝΔ,GKoumoutsakos
Κεραμέως Κωνσταντίνου Νίκη,Κεραμέως,Κεραμέως Νίκη,ΝΔ,nkerameus
Καιρίδης Κωνσταντίνου Δημήτριος,Καιρίδης,Καιρίδης Δημήτριος,ΝΔ,DimKairidis
Γεωργιάδης Αθανασίου Σπυρίδων - Άδωνις,Γεωργιάδης,Γεωργιάδης Άδωνις,ΝΔ,AdonisGeorgiadi
Χατζηδάκης Ιωάννη Κωνσταντίνος (Κωστής),Χατζηδάκης,Χατζηδάκης Κωστής,ΝΔ,K_Hatzidakis
Βαρβιτσιώτης Ιωάννη Μιλτιάδης,Βαρβιτσιώτης,Βαρβιτσιώτης Μιλτιάδης,ΝΔ,MVarvitsiotis
Λοβέρδος Πέτρου Ιωάννης - Μιχαήλ (Γιάννης),Λοβέρδος,Λοβέρδος Γιάννης,ΝΔ,YiannisLoverdos
Μητσοτάκης Κωνσταντίνου Κυριάκος,Μητσοτάκης,Μητσοτάκης Κυριάκος,ΝΔ,kmitsotakis
Κυρανάκης Ιωάννη - Παναγιώτη Κωνσταντίνος,Κυρανάκης,Κυρανάκης Κωνσταντίνος,ΝΔ,kyranakis
Παπαδημητρίου Αθανασίου Χαράλαμπος (Μπάμπης),Παπαδημητρίου,Παπαδημητρίου Μπάμπης,ΝΔ,babis2019
Σπανάκης Νικολάου Βασίλειος - Πέτρος,Σπανάκης,Σπανάκης Πέτρος,ΝΔ,vspanakis
Δένδιας Σπυρίδωνος Νικόλαος - Γεώργιος,Δένδιας,Δένδιας Γεώργιος,ΝΔ,NikosDendias
Βούλτεψη Ιωάννη Σοφία,Βούλτεψη,Βούλτεψη Σοφία,ΝΔ,sofia_voultepsi
Καλλιάνος Δημητρίου Ιωάννης,Καλλιάνος,Καλλιάνος Ιωάννης,ΝΔ,kallianos
Καραμανλή Αρκαδίου Άννα,Καραμανλή,Καραμανλή Άννα,ΝΔ,annakaramanli
Θεοχάρης Αθανασίου Θεοχάρης (Χάρης),Θεοχάρης,Θεοχάρης Χάρης,ΝΔ,htheoharis
Χατζηδάκης Διονυσίου Διονύσιος,Χατζηδάκης,Χατζηδάκης Διονύσιος,ΝΔ,
Δούνια Δημητρίου Παναγιώτα (Νόνη),Δούνια,Δούνια Νόνη,ΝΔ,NoniDounia
Κατσαφάδος Ιωάννη Κωνσταντίνος,Κατσαφάδος,Κατσαφάδος Κωνσταντίνος,ΝΔ,katsafados
Μπουτσικάκης Ιωάννη Χριστόφορος - Εμμανουήλ,Μπουτσικάκης,Μπουτσικάκης Εμμανουήλ,ΝΔ,BoutsikakisChr
Μελάς Παναγιώτη Ιωάννης,Μελάς,Μελάς Ιωάννης,ΝΔ,yiannismelas
Μανωλάκος Πέτρου Νικόλαος,Μανωλάκος,Μανωλάκος Νικόλαος,ΝΔ,manolakosnik
Μαρκόπουλος Κωνσταντίνου Δημήτριος,Μαρκόπουλος,Μαρκόπουλος Δημήτριος,ΝΔ,markopoulosdimi
Τραγάκης Παναγιώτη Ιωάννης,Τραγάκης,Τραγάκης Ιωάννης,ΝΔ,
Μαρτίνου Αθανασίου Γεωργία,Μαρτίνου,Μαρτίνου Γεωργία,ΝΔ,GeorgiaMartinou
Οικονόμου Αθανασίου Βασίλειος,Οικονόμου,Οικονόμου Βασίλειος,ΝΔ,OikonomouVasili
Βλάχος Θεοδώρου Γεώργιος,Βλάχος,Βλάχος Γεώργιος,ΝΔ,Vlachos_G
Βορίδης Χρήστου Μαυρουδής (Μάκης),Βορίδης,Βορίδης Μάκης,ΝΔ,MakisVoridis
Μπούρας Κωνσταντίνου Αθανάσιος,Μπούρας,Μπούρας Αθανάσιος,ΝΔ,athbouras
Κώτσηρας Αναστασίου Γεώργιος,Κώτσηρας,Κώτσηρας Γεώργιος,ΝΔ,giorgoskotsiras
Λιάκος Γεωργίου Ευάγγελος,Λιάκος,Λιάκος Ευάγγελος,ΝΔ,liakosev
Λιβανός Διονυσίου Σπυρίδωνας-Παναγιώτης (Σπήλιος),Λιβανός,Λιβανός Σπήλιος,ΝΔ,SpiliosL
Σαλμάς Γεωργίου Μάριος,Σαλμάς,Σαλμάς Μάριος,ΝΔ,salmasmarios
Καραγκούνης Ανδρέα Κωνσταντίνος,Καραγκούνης,Καραγκούνης Κωνσταντίνος,ΝΔ,k_karagounis
Ανδριανός Σωτηρίου Ιωάννης,Ανδριανός,Ανδριανός Ιωάννης,ΝΔ,
Βλάσης Γεωργίου Κωνσταντίνος,Βλάσης,Βλάσης Κωνσταντίνος,ΝΔ,KostasVlasis
Στύλιος Δημοσθένη Γεώργιος,Στύλιος,Στύλιος Γεώργιος,ΝΔ,gstylios
Αλεξοπούλου Μιχαήλ Χριστίνα,Αλεξοπούλου,Αλεξοπούλου Χριστίνα,ΝΔ,xrisalex
Κατσανιώτης Ιωάννη Ανδρέας,Κατσανιώτης,Κατσανιώτης Ανδρέας,ΝΔ,katsaniotis
Τσιγκρής Αντωνίου Άγγελος,Τσιγκρής,Τσιγκρής Άγγελος,ΝΔ,tsigris_angelos
Φωτήλας Ασημάκη Ιάσων,Φωτήλας,Φωτήλας Ιάσων,ΝΔ,IasonFotilas
Κουτσούμπας Βασιλείου Ανδρέας,Κουτσούμπας,Κουτσούμπας Ανδρέας,ΝΔ,kutsubad
Πάτσης Κωνσταντίνου Ανδρέας,Πάτσης,Πάτσης Ανδρέας,ΝΔ,patsis_andreas
Μπλούχος Δημητρίου Κωνσταντίνος,Μπλούχος,Μπλούχος Κωνσταντίνος,ΝΔ,blouchosdrama
Παππάς Κωνσταντίνου Ιωάννης,Παππάς,Παππάς Ιωάννης,ΝΔ,pappas_ioannis
Κόνσολας Νικία Εμμανουήλ (Μάνος),Κόνσολας,Κόνσολας Μάνος,ΝΔ,manoskonsolas
Ιατρίδη Ιωάννη Τσαμπίκα (Μίκα),Ιατρίδη,Ιατρίδη Μίκα,ΝΔ,
Υψηλάντης Αναστασίου Βασίλειος - Νικόλαος,Υψηλάντης,Υψηλάντης Νικόλαος,ΝΔ,vnaypsilantis
Δημοσχάκης Σπύρου Αναστάσιος (Τάσος),Δημοσχάκης,Δημοσχάκης Τάσος,ΝΔ,ADimoschakis
Κελέτσης Δημητρίου Σταύρος,Κελέτσης,Κελέτσης Σταύρος,ΝΔ,keletsis
Δερμεντζόπουλος Αλεξάνδρου Χρήστος,Δερμεντζόπουλος,Δερμεντζόπουλος Χρήστος,ΝΔ,ChrisDermen
Κεδίκογλου Βασιλείου Συμεών (Σίμος),Κεδίκογλου,Κεδίκογλου Σίμος,ΝΔ,SimosKedikoglou
Ζεμπίλης Γεωργίου Αθανάσιος,Ζεμπίλης,Ζεμπίλης Αθανάσιος,ΝΔ,than_zebilis
Πνευματικός Γεωργίου Σπυρίδωνας,Πνευματικός,Πνευματικός Σπυρίδωνας,ΝΔ,
Κοντογεώργος Αθανασίου Κωνσταντίνος,Κοντογεώργος,Κοντογεώργος Κωνσταντίνος,ΝΔ,
Ακτύπης Δημητρίου Διονύσιος,Ακτύπης,Ακτύπης Διονύσιος,ΝΔ,
Νικολακόπουλος Θεοδώρου Ανδρέας,Νικολακόπουλος,Νικολακόπουλος Ανδρέας,ΝΔ,anikolakopoulos
Τζαβάρας Γεωργίου Κωνσταντίνος,Τζαβάρας,Τζαβάρας Κωνσταντίνος,ΝΔ,Tzavaraskon
Αυγερινοπούλου Ζήσιμου Διονυσία - Θεοδώρα,Αυγερινοπούλου,Αυγερινοπούλου Θεοδώρα,ΝΔ,avgerinopoulou
Βεσυρόπουλος Φωτίου Απόστολος,Βεσυρόπουλος,Βεσυρόπουλος Απόστολος,ΝΔ,a_vesiropoulos
Μπαρτζώκας Στεργίου Αναστάσιος,Μπαρτζώκας,Μπαρτζώκας Αναστάσιος,ΝΔ,t_bartzokas
Τσαβδαρίδης Γεωργίου Λάζαρος,Τσαβδαρίδης,Τσαβδαρίδης Λάζαρος,ΝΔ,lazarostsavdar1
Σενετάκης Γεωργίου Μάξιμος,Σενετάκης,Σενετάκης Μάξιμος,ΝΔ,maxsenetakis
Αυγενάκης Κωνσταντίνου Ελευθέριος,Αυγενάκης,Αυγενάκης Ελευθέριος,ΝΔ,l_avgenakis
Γιόγιακας Νικολάου Βασίλειος,Γιόγιακας,Γιόγιακας Βασίλειος,ΝΔ,giogiakasv
Γκιουλέκας Πέτρου Κωνσταντίνος,Γκιουλέκας,Γκιουλέκας Κωνσταντίνος,ΝΔ,gioulekaskostas
Καραμανλής Αλεξάνδρου Κωνσταντίνος,Καραμανλής,Καραμανλής Κωνσταντίνος,ΝΔ,
Καλαφάτης Αθανασίου Σταύρος,Καλαφάτης,Καλαφάτης Σταύρος,ΝΔ,KalafatisSt
Ευθυμίου Ταξιάρχη Άννα,Ευθυμίου,Ευθυμίου Άννα,ΝΔ,AnnaEfthymiou_
Σιμόπουλος Γεωργίου Ευστράτιος (Στράτος),Σιμόπουλος,Σιμόπουλος Στράτος,ΝΔ,efsimopoulos
Ράπτη Δημητρίου Ελένη,Ράπτη,Ράπτη Ελένη,ΝΔ,Elena_Rapti
Κούβελας Σωτηρίου Δημήτριος,Κούβελας,Κούβελας Δημήτριος,ΝΔ,dkouvelas
Καράογλου Γεωργίου Θεόδωρος,Καράογλου,Καράογλου Θεόδωρος,ΝΔ,TheoKaraoglou
Βαρτζόπουλος Χρυσοστόμου Δημήτριος,Βαρτζόπουλος,Βαρτζόπουλος Δημήτριος,ΝΔ,DimVartzopoulos
Αναστασιάδης Ιωάννη Σάββας,Αναστασιάδης,Αναστασιάδης Σάββας,ΝΔ,savanastasiadis
Κεφαλά Στεφάνου Μαρία - Αλεξάνδρα,Κεφαλά,Κεφαλά Αλεξάνδρα,ΝΔ,
Καλογιάννης Ελευθερίου Σταύρος,Καλογιάννης,Καλογιάννης Σταύρος,ΝΔ,
Τασούλας Αναστασίου Κωνσταντίνος,Τασούλας,Τασούλας Κωνσταντίνος,ΝΔ,
Αμυράς Στυλιανού Γεώργιος,Αμυράς,Αμυράς Γεώργιος,ΝΔ,amirasgiorgos
Παναγιωτόπουλος Ιωάννη Νικόλαος,Παναγιωτόπουλος,Παναγιωτόπουλος Νικόλαος,ΝΔ,npanagioto
Πασχαλίδης Αδάμ Ιωάννης,Πασχαλίδης,Πασχαλίδης Ιωάννης,ΝΔ,pasxalidisjohn
