Name (Long),Surname,Name,Party,Twitter Handle
Λαζαρίδης Βασιλείου Μακάριος,Λαζαρίδης,Λαζαρίδης Μακάριος,ΝΔ,mvlazaridis
Κωτσός Κωνσταντίνου Γεώργιος,Κωτσός,Κωτσός Γεώργιος,ΝΔ,KotsosGiorgos
Σκόνδρα Κωνσταντίνου Ασημίνα,Σκόνδρα,Σκόνδρα Ασημίνα,ΝΔ,AsiminaSkondra
Τσιάρας Αλεξάνδρου Κωνσταντίνος,Τσιάρας,Τσιάρας Κωνσταντίνος,ΝΔ,tsiaras_kostas
Τζηκαλάγιας Γεωργίου Ζήσης,Τζηκαλάγιας,Τζηκαλάγιας Ζήσης,ΝΔ,
Γκίκας Σωτηρίου Στέφανος,Γκίκας,Γκίκας Στέφανος,ΝΔ,STEFANOS_GIKAS
Καππάτος Σπυρίδωνος-Διονυσίου Παναγής,Καππάτος,Καππάτος Παναγής,ΝΔ,pkappatos
Γεωργαντάς Παύλου Γεώργιος,Γεωργαντάς,Γεωργαντάς Γεώργιος,ΝΔ,georgantasgr
Βρυζίδου Παναγιώτη Παρασκευή,Βρυζίδου,Βρυζίδου Παρασκευή,ΝΔ,Vrizidou_Vicky
Αμανατίδης Ισαάκ Γεώργιος,Αμανατίδης,Αμανατίδης Γεώργιος,ΝΔ,amanatidis_g
Παπαδόπουλος Γεωργίου Μιχάλης,Παπαδόπουλος,Παπαδόπουλος Μιχάλης,ΝΔ,papadopoulosmix
Κωνσταντινίδης Κωνσταντίνου Ευστάθιος,Κωνσταντινίδης,Κωνσταντινίδης Ευστάθιος,ΝΔ,Stathis_Konst
Σούκουλη - Βιλιάλη Δημητρίου Μαρία Ελένη (Μαριλένα),Σούκουλη,Σούκουλη Μαριλένα,ΝΔ,msoukouli
Ταγαράς Χρήστου Νικόλαος,Ταγαράς,Ταγαράς Νικόλαος,ΝΔ,TagarasNikos
Δήμας Σταύρου Χρίστος,Δήμας,Δήμας Χρίστος,ΝΔ,ChristosDimas_
Βρούτσης Βασιλείου Ιωάννης,Βρούτσης,Βρούτσης Ιωάννης,ΝΔ,vroutsisgiannis
Μονογυιού Αικατερίνη,Μονογυιού,Μονογυιού Αικατερίνη,ΝΔ,MonogiouKateri1
Φόρτωμας Αριστοτέλη Φίλιππος,Φόρτωμας,Φόρτωμας Φίλιππος,ΝΔ,
Κρητικός Δημοσθένη Νεοκλής,Κρητικός,Κρητικός Νεοκλής,ΝΔ,neokliskritikos
Δαβάκης Παναγιώτη Αθανάσιος,Δαβάκης,Δαβάκης Αθανάσιος,ΝΔ,adavakis
Κέλλας Αχιλλέα Χρήστος,Κέλλας,Κέλλας Χρήστος,ΝΔ,kellas_xristos
Μπίζιου Νικολάου Στεργιανή (Στέλλα),Μπίζιου,Μπίζιου Στέλλα,ΝΔ,BiziouStella
Χαρακόπουλος Παντελή Μάξιμος,Χαρακόπουλος,Χαρακόπουλος Μάξιμος,ΝΔ,pantamaximos
Πλακιωτάκης Ιωσήφ Ιωάννης,Πλακιωτάκης,Πλακιωτάκης Ιωάννης,ΝΔ,g_plakiotakis
Αθανασίου Χριστόφα Χαράλαμπος,Αθανασίου,Αθανασίου Χαράλαμπος,ΝΔ,XarAthan
Καββαδάς Ιωάννη Αθανάσιος,Καββαδάς,Καββαδάς Αθανάσιος,ΝΔ,
Μπουκώρος Γεωργίου Χρήστος,Μπουκώρος,Μπουκώρος Χρήστος,ΝΔ,chboukoros1
Μαραβέγιας Αριστοτέλη Κωνσταντίνος,Μαραβέγιας,Μαραβέγιας Κωνσταντίνος,ΝΔ,maravegiaskost
Μακρή Μιχαήλ Ζωή (Ζέττα),Μακρή,Μακρή Ζέττα,ΝΔ,zettamakri
Λιούπης Κωνσταντίνου Αθανάσιος,Λιούπης,Λιούπης Αθανάσιος,ΝΔ,
Μαντάς Παντελή Περικλής,Μαντάς,Μαντάς Περικλής,ΝΔ,periklismantas
Λαμπρόπουλος Δημητρίου Ιωάννης,Λαμπρόπουλος,Λαμπρόπουλος Ιωάννης,ΝΔ,
Σαμαράς Κωνσταντίνου Αντώνιος,Σαμαράς,Σαμαράς Αντώνιος,ΝΔ,samaras_antonis
Χρυσομάλλης Παναγιώτη Μιλτιάδης (Μίλτος),Χρυσομάλλης,Χρυσομάλλης Μίλτος,ΝΔ,chrysomallism
Τσιλιγγίρης Γεωργίου Σπυρίδων (Σπύρος),Τσιλιγγίρης,Τσιλιγγίρης Σπύρος,ΝΔ,
Σταμενίτης Ευαγγέλου Διονύσιος,Σταμενίτης,Σταμενίτης Διονύσιος,ΝΔ,dionstamenitis
Καρασμάνης Αθανασίου Γεώργιος,Καρασμάνης,Καρασμάνης Γεώργιος,ΝΔ,
Βασιλειάδης Νικολάου Βασίλειος (Λάκης),Βασιλειάδης,Βασιλειάδης Λάκης,ΝΔ,lakis_vas
Μάνη-Παπαδημητρίου Ευαγγέλου ΄Αννα,Μάνη-Παπαδημητρίου,Μάνη-Παπαδημητρίου ΄Αννα,ΝΔ,
Μπαραλιάκος Ελευθερίου Ξενοφών (Φώντας),Μπαραλιάκος,Μπαραλιάκος Φώντας,ΝΔ,fbaraliakos
Χιονίδης Γεωργίου Σάββας,Χιονίδης,Χιονίδης Σάββας,ΝΔ,HionidisSavvas
Γιαννάκης Κωνσταντίνου Στέργιος,Γιαννάκης,Γιαννάκης Στέργιος,ΝΔ,stergiannakis
Κεφαλογιάννης Αχιλλέα Ιωάννης,Κεφαλογιάννης,Κεφαλογιάννης Ιωάννης,ΝΔ,gkefalogiannis
Στυλιανίδης Στυλιανού Ευριπίδης,Στυλιανίδης,Στυλιανίδης Ευριπίδης,ΝΔ,e_stylianidis
Στεφανάδης Ισιδώρου Χριστόδουλος,Στεφανάδης,Στεφανάδης Χριστόδουλος,ΝΔ,ChStefanadis
Λεονταρίδης Χρήστου Θεόφιλος,Λεονταρίδης,Λεονταρίδης Θεόφιλος,ΝΔ,The_Leontaridis
Καραμανλής Αχιλλέα Κωνσταντίνος,Καραμανλής,Καραμανλής Κωνσταντίνος,ΝΔ,karamanlis_k
Αραμπατζή Αθανασίου Φωτεινή,Αραμπατζή,Αραμπατζή Φωτεινή,ΝΔ,ArampatziFotini
Χατζηβασιλείου Γεωργίου Αναστάσιος (Τάσος),Χατζηβασιλείου,Χατζηβασιλείου Τάσος,ΝΔ,tasos_chatziv
Λιούτας Αχιλλέως Αθανάσιος,Λιούτας,Λιούτας Αθανάσιος,ΝΔ,
Σκρέκας Θεοδώρου Κωνσταντίνος,Σκρέκας,Σκρέκας Κωνσταντίνος,ΝΔ,KostasSkrekas
Παπακώστα - Παλιούρα Δημητρίου Αικατερίνη (Κατερίνα),Παπακώστα,Παπακώστα Κατερίνα,ΝΔ,papakostakater
Οικονόμου Δημητρίου Ιωάννης,Οικονόμου,Οικονόμου Ιωάννης,ΝΔ,joikonomou
Σταϊκούρας Κωνσταντίνου Χρήστος,Σταϊκούρας,Σταϊκούρας Χρήστος,ΝΔ,cstaikouras
Κοτρωνιάς Νικολάου Γεώργιος,Κοτρωνιάς,Κοτρωνιάς Γεώργιος,ΝΔ,
Χειμάρας Αθανασίου Θεμιστοκλής (Θέμης),Χειμάρας,Χειμάρας Θέμης,ΝΔ,T_Cheimaras
Αντωνιάδης Δημητρίου Ιωάννης,Αντωνιάδης,Αντωνιάδης Ιωάννης,ΝΔ,GIANNISFLORINA
Μπούγας Δημητρίου Ιωάννης,Μπούγας,Μπούγας Ιωάννης,ΝΔ,ioannis_mpougas
Βαγιωνάς Κωνσταντίνου Γεώργιος,Βαγιωνάς,Βαγιωνάς Γεώργιος,ΝΔ,GVagionas
Διγαλάκης Βασιλείου Βασίλειος,Διγαλάκης,Διγαλάκης Βασίλειος,ΝΔ,vdigalakis
Μπακογιάννη Κωνσταντίνου Θεοδώρα (Ντόρα),Μπακογιάννη,Μπακογιάννη Ντόρα,ΝΔ,Dora_Bakoyannis
Βολουδάκης Γεωργίου Μανούσος - Κωνσταντίνος,Βολουδάκης,Βολουδάκης Κωνσταντίνος,ΝΔ,MVoloudakis
Μηταράκης Αντωνίου Παναγιώτης (Νότης),Μηταράκης,Μηταράκης Νότης,ΝΔ,nmitarakis
Αχτσιόγλου Θεμιστοκλή Ευτυχία,Αχτσιόγλου,Αχτσιόγλου Ευτυχία,ΣΥΡΙΖΑ,E_Achtsioglou
Βασιλικός Νικολάου Βασίλειος (Βασίλης),Βασιλικός,Βασιλικός Βασίλης,ΣΥΡΙΖΑ,
Σκουρλέτης Βασιλείου Παναγιώτης (Πάνος),Σκουρλέτης,Σκουρλέτης Πάνος,ΣΥΡΙΖΑ,pskourl
Φλαμπουράρης Γερασίμου Αλέξανδρος,Φλαμπουράρης,Φλαμπουράρης Αλέξανδρος,ΣΥΡΙΖΑ,
Φίλης Αριστοτέλη Νικόλαος,Φίλης,Φίλης Νικόλαος,ΣΥΡΙΖΑ,nikosfilis1
Τζανακόπουλος Μόσχου Δημήτριος,Τζανακόπουλος,Τζανακόπουλος Δημήτριος,ΣΥΡΙΖΑ,d_tzanakopoulos
Βερναρδάκης Δημοσθένη Χριστόφορος,Βερναρδάκης,Βερναρδάκης Χριστόφορος,ΣΥΡΙΖΑ,ChVernardakis
Βούτσης Γεωργίου Νικόλαος,Βούτσης,Βούτσης Νικόλαος,ΣΥΡΙΖΑ,
Ζαχαριάδης Εμμανουήλ Κωνσταντίνος,Ζαχαριάδης,Ζαχαριάδης Κωνσταντίνος,ΣΥΡΙΖΑ,CZachariadis
Κατρούγκαλος Στέλιου - Παναγιώτη Γεώργιος,Κατρούγκαλος,Κατρούγκαλος Γεώργιος,ΣΥΡΙΖΑ,gkatr
Ξενογιαννακοπούλου Διονυσίου Μαρία - Ελίζα (Μαριλίζα),Ξενογιαννακοπούλου,Ξενογιαννακοπούλου Μαριλίζα,ΣΥΡΙΖΑ,marilizaxen
Τσακαλώτος Στεφάνου Ευκλείδης,Τσακαλώτος,Τσακαλώτος Ευκλείδης,ΣΥΡΙΖΑ,tsakalotos
Καφαντάρη Φωτίου Χαρούλα (Χαρά),Καφαντάρη,Καφαντάρη Χαρά,ΣΥΡΙΖΑ,
Παπαχριστόπουλος Θεμιστοκλή Αθανάσιος (Θανάσης),Παπαχριστόπουλος,Παπαχριστόπουλος Θανάσης,ΣΥΡΙΖΑ,PapachristTh
Δραγασάκης Ανδρέα Ιωάννης,Δραγασάκης,Δραγασάκης Ιωάννης,ΣΥΡΙΖΑ,YDragasakis
Βίτσας Αθανασίου Δημήτριος,Βίτσας,Βίτσας Δημήτριος,ΣΥΡΙΖΑ,dimitrisvitsas
Παππάς Στυλιανού Νικόλαος,Παππάς,Παππάς Νικόλαος,ΣΥΡΙΖΑ,nikospappas16
Μουζάλας Ευστράτιου Ιωάννης,Μουζάλας,Μουζάλας Ιωάννης,ΣΥΡΙΖΑ,imouzalas
Μπαλάφας Περικλή Ιωάννης,Μπαλάφας,Μπαλάφας Ιωάννης,ΣΥΡΙΖΑ,ybalafas
Φωτίου Βασιλείου Θεανώ,Φωτίου,Φωτίου Θεανώ,ΣΥΡΙΖΑ,TheanoFotiou
Χρηστίδου Δημητρίου Ραλλία,Χρηστίδου,Χρηστίδου Ραλλία,ΣΥΡΙΖΑ,Ral_Christidou
Δρίτσας Παναγιώτη Θεόδωρος,Δρίτσας,Δρίτσας Θεόδωρος,ΣΥΡΙΖΑ,
Κασιμάτη Γεωργίου Ειρήνη (Νίνα),Κασιμάτη,Κασιμάτη Νίνα,ΣΥΡΙΖΑ,ninakasimati
Αλεξιάδης Ζαφειρίου Τρύφων,Αλεξιάδης,Αλεξιάδης Τρύφων,ΣΥΡΙΖΑ,
Ραγκούσης Νικολάου Ιωάννης,Ραγκούσης,Ραγκούσης Ιωάννης,ΣΥΡΙΖΑ,gragkousis
Σκουρολιάκος Λουκά Παναγιώτης (Πάνος),Σκουρολιάκος,Σκουρολιάκος Πάνος,ΣΥΡΙΖΑ,PanosSkourolia1
Σπίρτζης Παναγιώτη Χρήστος,Σπίρτζης,Σπίρτζης Χρήστος,ΣΥΡΙΖΑ,c_spirtzis
Αθανασίου Ευθυμίου Αθανάσιος (Νάσος),Αθανασίου,Αθανασίου Νάσος,ΣΥΡΙΖΑ,nasosa8anasiou
Τσίπρας Ηρακλή Γεώργιος,Τσίπρας,Τσίπρας Γεώργιος,ΣΥΡΙΖΑ,giorgostsipras
Βαρεμένος Βασιλείου Γεώργιος,Βαρεμένος,Βαρεμένος Γεώργιος,ΣΥΡΙΖΑ,GVaremenos
Μωραΐτης Χρήστου Αθανάσιος (Θάνος),Μωραΐτης,Μωραΐτης Θάνος,ΣΥΡΙΖΑ,thanos_moraitis
Γκιόλας Δημητρίου Ιωάννης,Γκιόλας,Γκιόλας Ιωάννης,ΣΥΡΙΖΑ,
Παπαηλιού Ηλία Γεώργιος,Παπαηλιού,Παπαηλιού Γεώργιος,ΣΥΡΙΖΑ,
Γεροβασίλη Βασιλείου Όλγα,Γεροβασίλη,Γεροβασίλη Όλγα,ΣΥΡΙΖΑ,olgagerovasili
Αναγνωστοπούλου Πέτρου Αθανασία (Σία),Αναγνωστοπούλου,Αναγνωστοπούλου Σία,ΣΥΡΙΖΑ,sia_anag
Μάρκου Βασιλείου Κωνσταντίνος,Μάρκου,Μάρκου Κωνσταντίνος,ΣΥΡΙΖΑ,
Τσίπρας Παύλου Αλέξιος,Τσίπρας,Τσίπρας Αλέξιος,ΣΥΡΙΖΑ,atsipras
Πούλου Λεωνίδα Παναγιού (Γιώτα),Πούλου,Πούλου Γιώτα,ΣΥΡΙΖΑ,GIOTAPOULOU
Ξανθόπουλος Σάββα Θεόφιλος,Ξανθόπουλος,Ξανθόπουλος Θεόφιλος,ΣΥΡΙΖΑ,Xanthopoulosth
Σαντορινιός Κωνσταντίνου Νεκτάριος,Σαντορινιός,Σαντορινιός Νεκτάριος,ΣΥΡΙΖΑ,nectarsant
Γκαρά Γεωργίου Αναστασία (Νατάσα),Γκαρά,Γκαρά Νατάσα,ΣΥΡΙΖΑ,NatasaGkara
Αποστόλου Δημητρίου Ευάγγελος,Αποστόλου,Αποστόλου Ευάγγελος,ΣΥΡΙΖΑ,vag_apos
Χατζηγιαννάκης Ευαγγέλου Μιλτιάδης,Χατζηγιαννάκης,Χατζηγιαννάκης Μιλτιάδης,ΣΥΡΙΖΑ,
Καλαματιανός Χρήστου Διονύσιος-Χαράλαμπος,Καλαματιανός,Καλαματιανός Διονύσιος-Χαράλαμπος,ΣΥΡΙΖΑ,dckalamatianos
Καρασαρλίδου Γεωργίου Ευφροσύνη (Φρόσω),Καρασαρλίδου,Καρασαρλίδου Φρόσω,ΣΥΡΙΖΑ,FKarasarlidou
Ηγουμενίδης Εμμανουήλ Νικόλαος,Ηγουμενίδης,Ηγουμενίδης Νικόλαος,ΣΥΡΙΖΑ,IgoumenidisN
Βαρδάκης Δημητρίου Σωκράτης,Βαρδάκης,Βαρδάκης Σωκράτης,ΣΥΡΙΖΑ,sokrvardakis
Μαμουλάκης Αντωνίου Χαράλαμπος (Χάρης),Μαμουλάκης,Μαμουλάκης Χάρης,ΣΥΡΙΖΑ,Mamoulakis
Κάτσης Σπυρίδωνος Μάριος,Κάτσης,Κάτσης Μάριος,ΣΥΡΙΖΑ,marios_katsis
Ζουράρης Γεωργίου Κωνσταντίνος,Ζουράρης,Ζουράρης Κωνσταντίνος,ΣΥΡΙΖΑ,
Γιαννούλης Ιωάννη Χρήστος,Γιαννούλης,Γιαννούλης Χρήστος,ΣΥΡΙΖΑ,giannoul
Αμανατίδης Γεωργίου Ιωάννης,Αμανατίδης,Αμανατίδης Ιωάννης,ΣΥΡΙΖΑ,amanatidis_gian
Νοτοπούλου Παναγιώτη Αικατερίνη (Κατερίνα),Νοτοπούλου,Νοτοπούλου Κατερίνα,ΣΥΡΙΖΑ,katenotopoulou
Τριανταφυλλίδης Γεωργίου Αλέξανδρος (Αλέκος),Τριανταφυλλίδης,Τριανταφυλλίδης Αλέκος,ΣΥΡΙΖΑ,tr_alexandros
Φάμελλος Πέτρου Σωκράτης,Φάμελλος,Φάμελλος Σωκράτης,ΣΥΡΙΖΑ,sfamellos
Αυγέρη Πέτρου Θεοδώρα (Δώρα),Αυγέρη,Αυγέρη Δώρα,ΣΥΡΙΖΑ,davgeri
Τζούφη Στεφάνου Μερόπη,Τζούφη,Τζούφη Μερόπη,ΣΥΡΙΖΑ,meropitzoufi
Ελευθεριάδου Παύλου Σουλτάνα,Ελευθεριάδου,Ελευθεριάδου Σουλτάνα,ΣΥΡΙΖΑ,teleftheriadou
Λάππας Ευαγγέλου Σπυρίδωνας,Λάππας,Λάππας Σπυρίδωνας,ΣΥΡΙΖΑ,spyroslappas1
Τελιγιορίδου Ιωάννη Ολυμπία,Τελιγιορίδου,Τελιγιορίδου Ολυμπία,ΣΥΡΙΖΑ,teligioridou
Αυλωνίτης Νικολάου Αλέξανδρος - Χρήστος,Αυλωνίτης,Αυλωνίτης Χρήστος,ΣΥΡΙΖΑ,a_avlonitis
Αγαθοπούλου Δημητρίου Ειρήνη-Ελένη,Αγαθοπούλου,Αγαθοπούλου Ειρήνη-Ελένη,ΣΥΡΙΖΑ,iriniagath
Βέτα Δημητρίου Καλλιόπη,Βέτα,Βέτα Καλλιόπη,ΣΥΡΙΖΑ,
Ψυχογιός Κωνσταντίνου Γεώργιος,Ψυχογιός,Ψυχογιός Γεώργιος,ΣΥΡΙΖΑ,g_psychogios
Συρμαλένιος Ευαγγέλου Νικόλαος,Συρμαλένιος,Συρμαλένιος Νικόλαος,ΣΥΡΙΖΑ,syrmal2000
Αραχωβίτης Γεωργίου Σταύρος,Αραχωβίτης,Αραχωβίτης Σταύρος,ΣΥΡΙΖΑ,
Βαγενά Κηλαηδόνη χήρα Λουκιανού Άννα,Βαγενά,Βαγενά Άννα,ΣΥΡΙΖΑ,annavayena
Κόκκαλης Κωνσταντίνου Βασίλειος,Κόκκαλης,Κόκκαλης Βασίλειος,ΣΥΡΙΖΑ,vasiliskokkalhs
Θραψανιώτης Μιχαήλ Εμμανουήλ,Θραψανιώτης,Θραψανιώτης Εμμανουήλ,ΣΥΡΙΖΑ,
Μπουρνούς Δημητρίου Ιωάννης,Μπουρνούς,Μπουρνούς Ιωάννης,ΣΥΡΙΖΑ,alterglobal
Μεϊκόπουλος Μιχαήλ Αλέξανδρος,Μεϊκόπουλος,Μεϊκόπουλος Αλέξανδρος,ΣΥΡΙΖΑ,A_Meikopoulos
Παπανάτσιου Στέργιου Αικατερίνη,Παπανάτσιου,Παπανάτσιου Αικατερίνη,ΣΥΡΙΖΑ,
Χαρίτσης Βύρωνα Αλέξανδρος (Αλέξης),Χαρίτσης,Χαρίτσης Αλέξης,ΣΥΡΙΖΑ,alexischaritsis
Ζεϊμπέκ Χασάν Χουσεϊν,Ζεϊμπέκ,Ζεϊμπέκ Χουσεϊν,ΣΥΡΙΖΑ,ZeybekHuseyin
Τζάκρη Εμμανουήλ Θεοδώρα,Τζάκρη,Τζάκρη Θεοδώρα,ΣΥΡΙΖΑ,tzakri
Σκούφα Δημητρίου Ελισσάβετ (Μπέττυ),Σκούφα,Σκούφα Μπέττυ,ΣΥΡΙΖΑ,BSkoufa
Μπάρκας Θεοφάνη Κωνσταντίνος,Μπάρκας,Μπάρκας Κωνσταντίνος,ΣΥΡΙΖΑ,kostasbarkas
Ξανθός Γεωργίου Ανδρέας,Ξανθός,Ξανθός Ανδρέας,ΣΥΡΙΖΑ,andreasxanthos
Χαρίτου Αθανασίου Δημήτριος (Τάκης),Χαρίτου,Χαρίτου Τάκης,ΣΥΡΙΖΑ,
Αβραμάκης Αντωνίου Ελευθέριος,Αβραμάκης,Αβραμάκης Ελευθέριος,ΣΥΡΙΖΑ,
Παπαδόπουλος Αποστόλου Αθανάσιος (Σάκης),Παπαδόπουλος,Παπαδόπουλος Σάκης,ΣΥΡΙΖΑ,sakis_papad
Σαρακιώτης Αθανασίου Ιωάννης,Σαρακιώτης,Σαρακιώτης Ιωάννης,ΣΥΡΙΖΑ,jsarakiotis
Πέρκα Χαράλαμπου Θεοπίστη (Πέτη),Πέρκα,Πέρκα Πέτη,ΣΥΡΙΖΑ,PetiPerka
Μάλαμα Ιωάννη Κυριακή,Μάλαμα,Μάλαμα Κυριακή,ΣΥΡΙΖΑ,KiriakiMalama
Πολάκης Πέτρου Παύλος,Πολάκης,Πολάκης Παύλος,ΣΥΡΙΖΑ,pavpol2222
Μιχαηλίδης Φραγκούλη Ανδρέας,Μιχαηλίδης,Μιχαηλίδης Ανδρέας,ΣΥΡΙΖΑ,
